Date,Close,High,Low,Open,Volume,ret,vol_z,ret_z,label,TranAD_Score
2018-01-01,349.8752136230469,354.6532977304218,348.7802360151068,353.9763976213585,1286288,,-0.9235726801001872,,0,
2018-01-02,355.4893798828125,356.3653666501796,349.13850619763537,349.1584343194065,1906518,0.0160461960183733,-0.7168362734833278,0.8879913214125448,0,
2018-01-03,357.2811889648437,361.4620120286645,355.5690472373208,355.5690472373208,2583906,0.0050404011580369,-0.4910478385392247,0.242227278953146,0,
2018-01-04,355.6087951660156,358.1372118425537,351.60715576596294,356.76350820602016,1193460,-0.0046808895919584,-0.9545143100655706,-0.3281685981555721,0,
2018-01-05,358.3761291503906,359.55074608282865,351.3085480396817,353.6776857232254,1492292,0.0077819615881071,-0.8549069807488182,0.4030880953171876,0,
2018-01-08,358.5552978515625,359.7100109193704,356.40515086412233,358.41594682384834,2353168,0.0004999459690482,-0.5679579283284334,-0.0241835286854666,0,
2018-01-09,355.9074401855469,359.4910023594678,352.3836137688925,358.5553041795341,2504270,-0.0073847958233538,-0.5175922824992721,-0.4868200577343556,0,
2018-01-10,364.6672668457031,365.5233497715405,354.8124706508822,355.17083659718315,3400572,0.0246126539405566,-0.2188349590490936,1.3906274842329005,0,
2018-01-11,365.0854797363281,368.2708693754625,362.3579752762627,365.9216347955632,4243446,0.0011468341928313,0.0621136277506075,0.0137725807742,0,
2018-01-12,368.6689758300781,369.5051307367871,363.2338960287004,365.7224812303221,1980698,0.0098154988150667,-0.6921104352574461,0.5224057127030646,0,
2018-01-15,362.0394592285156,370.7395453932548,360.5463077607049,368.3106953933208,2536486,-0.0179823012951816,-0.5068539756202616,-1.108627756343774,0,
2018-01-16,377.96630859375,380.25580690759153,362.3379940166579,363.9704961367962,8963404,0.0439920261707758,1.6353802486855795,2.527710440123034,0,
2018-01-17,379.3997192382813,383.6800855984772,375.5971660764855,378.2649341568463,5498922,0.0037924296741274,0.4805916066192659,0.1690026622352902,0,
2018-01-18,379.9571228027344,382.1072697657228,374.4822363070178,379.4594058485784,1869500,0.0014691723166588,-0.7291751934003633,0.0326857417519512,0,
2018-01-19,381.56976318359375,385.03387842915134,376.7319684343152,381.0521423543928,4748438,0.0042442693769333,0.2304386546765237,0.1955143169345034,0,
2018-01-22,384.7750549316406,388.1794587093871,376.274058153649,382.246662251326,4431318,0.0084002771113302,0.1247355295997966,0.4393677040922826,0,
2018-01-23,396.3220825195313,398.17359947813975,385.65103491403465,386.2084876743392,5015202,0.0300098133698978,0.3193570087947376,1.7073053375926612,0,
2018-01-24,405.5199890136719,414.3793290857736,394.98829032346026,395.7846376829833,9269776,0.0232081604831779,1.7375008271290933,1.3082189545306735,0,
2018-01-25,401.9761657714844,406.137084884,394.21178032517264,405.65927168832457,5307454,-0.008738960687997,0.4167710782634676,-0.566275561697999,0,
2018-01-29,403.771484375,407.3422168067923,400.9787365614373,402.9536130997652,4013296,0.004466231474371,-0.0146004686053735,0.2085379234193679,0,
2018-01-30,399.1235961914063,405.94587086562177,398.1660728490325,405.94587086562177,2711352,-0.0115111848247237,-0.4485672618536528,-0.728935568344848,0,
2018-01-31,393.5979919433594,406.1055299435552,391.6630259758773,398.9441201341529,3221144,-0.0138443437090024,-0.2786422885340425,-0.865833460040223,0,
2018-02-01,392.9396057128906,404.9284675895781,386.5960691414463,391.8224871676304,3055658,-0.0016727377780003,-0.3338024403896405,-0.1516655558615624,0,
2018-02-02,395.3333740234375,402.0359632797797,390.1268751766503,390.9846573795992,3345056,0.0060919496933986,-0.2373396723808279,0.3039267964940976,0,
2018-02-05,396.2311096191406,399.6821336371998,390.9847232353948,394.974363268409,2177578,0.0022708317958755,-0.6264859673427576,0.0797230409697016,0,
2018-02-06,380.5517883300781,386.4963614621896,378.23780208129614,384.9803031854586,3310994,-0.0395711515537826,-0.24869329197708,-2.3753516406211106,0,
2018-02-07,374.4476318359375,382.60644995061847,367.844782955652,382.2872836425146,4051696,-0.0160402780418577,-0.0018008974558203,-0.994679713287274,0,
2018-02-08,376.7615966796875,384.2022840922091,374.0287033607955,377.32015595037046,2896536,0.0061796754659777,-0.3868413299849324,0.3090740984606926,0,
2018-02-09,384.6013793945313,387.2345326251555,368.06431313857234,373.0314208857746,3456506,0.0208083381744157,-0.2001909170522418,1.1674095922850118,0,
2018-02-12,374.6869812011719,388.09215938724776,373.9688266530254,385.1996709209845,2975588,-0.0257783739854688,-0.3604915461694511,-1.5660616336487845,0,
2018-02-14,374.1484069824219,382.9256143408745,371.1561772011312,374.9463349240994,2889532,-0.0014373977367012,-0.3891759184310644,-0.137856999700883,0,
2018-02-15,374.9065246582031,378.8762218470789,371.8344965866234,376.62206521220224,2281842,0.0020262485731146,-0.5917324650943977,0.0653721419522189,0,
2018-02-16,373.8691711425781,387.37411774847385,371.435500375616,377.0209966218659,5698140,-0.0027669657565195,0.5469953817565496,-0.2158692859644463,0,
2018-02-19,364.73291015625,374.9064926161003,359.10750289148115,374.1683945722399,2925546,-0.0244370536313729,-0.3771716539680433,-1.4873597802083138,0,
2018-02-20,362.039794921875,369.1214041272504,361.062328499419,365.4509313872573,2462802,-0.0073838010209204,-0.5314144860521282,-0.4867616877893392,0,
2018-02-21,376.1831665039063,378.1380754994549,363.8551691254424,366.2489531328466,5569512,0.0390657927123268,0.5041208182715305,2.2386641265585863,0,
2018-02-22,375.4252014160156,384.2024112259544,371.6549859683977,376.2231295805555,8186574,-0.0020148830553341,1.3764455909744489,-0.1717408998238342,0,
2018-02-23,381.24993896484375,386.1572150058586,376.18311630595343,378.5768999939307,5675166,0.0155150414166618,0.539337638329731,0.8568258720174938,0,
2018-02-26,377.43994140625,385.0402018249853,376.2430492347694,381.3697519797782,2112112,-0.0099934378191338,-0.6483072362197537,-0.6398818966929627,0,
