Date,Close,High,Low,Open,Volume,ret,vol_z,ret_z,label,TranAD_Score
2018-01-01,256.73468017578125,260.48956415548616,255.0009851250972,259.8622948620915,1092642,,-0.7783389459972977,,0,
2018-01-02,254.97482299804688,258.81683345484515,253.01462026379767,258.3986630565495,1420686,-0.0068547699770418,-0.7462438060354513,-0.2763102051120727,0,
2018-01-03,253.01466369628903,255.87222102993124,251.77756127528,253.67677831008763,2552621,-0.0076876582507632,-0.6354976492616262,-0.3057775805385532,0,
2018-01-04,255.9331817626953,258.39868186634493,252.5703274848592,253.5199359083788,2673614,0.0115349759724185,-0.623659946790605,0.3743143324013533,0,
2018-01-05,257.8846130371094,259.9667876523252,254.269137991026,256.1335092883463,3591100,0.007624768546907,-0.5338950323796275,0.2359721875562452,0,
2018-01-08,263.0857849121094,264.75849421242833,257.884698888795,258.72977167767084,2865039,0.0201686010411623,-0.6049313245106777,0.6797697928983786,0,
2018-01-09,264.11376953125,265.19405451179813,261.9531722833393,264.84557460559506,1356269,0.0039074122514222,-0.7525462308044526,0.104453066673913,0,
2018-01-10,265.0372009277344,269.3583675455268,263.5997044570634,265.36824451426804,4224151,0.0034963394681135,-0.4719586444317094,0.0899094160840908,0,
2018-01-11,262.21453857421875,263.9743469981407,260.637660943933,263.9743469981407,3373802,-0.0106500609862887,-0.555155014953396,-0.4105866363583996,0,
2018-01-12,263.0857849121094,267.3198260649762,258.92143429533513,262.21459863731314,5079960,0.0033226469540095,-0.3882280789112065,0.0837642190830523,0,
2018-01-15,261.3084716796875,265.4902301968133,260.7770337286034,263.7478308146775,1097143,-0.0067556414460615,-0.7778985775559659,-0.2728030628817957,0,
2018-01-16,263.2686767578125,266.76220733328165,260.0365265571181,263.10315495455706,3112203,0.0075014983843608,-0.5807493148609666,0.231610920537318,0,
2018-01-17,262.2494201660156,264.3228635045845,259.61837072872385,264.3228635045845,2041133,-0.0038715452379263,-0.6855405671287566,-0.1707644720976053,0,
2018-01-18,253.74644470214844,264.0527836388952,251.86466412239585,262.26680706441374,4088661,-0.0324232383754534,-0.4852147031111261,-1.1809161182313537,0,
2018-01-19,248.81546020507807,256.4820459169965,245.3742106794364,256.4820459169965,2842840,-0.0194327234923761,-0.6071032283163045,-0.7213150035073369,0,
2018-01-22,257.2225646972656,259.4354164145601,245.92306646081292,250.2006843391506,2549347,0.0337885133233211,-0.6358179705850922,1.161638827626016,0,
2018-01-23,255.9243621826172,260.3849361815664,254.03385047790564,255.9940526823622,4602802,-0.0050470008965828,-0.4349122212638016,-0.2123517945316802,0,
2018-01-24,250.5403594970703,256.63876966388824,248.1793958817725,256.13347258760786,2453361,-0.0210374762278593,-0.6452090403939525,-0.7780907474037777,0,
2018-01-25,251.986572265625,253.8683798586416,247.4737704130141,247.4737704130141,3041705,0.005772374444811,-0.5876466919720561,0.1704349550528134,0,
2018-01-29,249.4165496826172,264.1485902394025,247.82226312814876,257.0221481688287,4027800,-0.0101990457662112,-0.4911692162655137,-0.3946298325079877,0,
2018-01-30,239.5545654296875,250.73209015696165,237.50723580793675,250.73209015696165,3896036,-0.0395402160180592,-0.5040607308852987,-1.4327129782825734,0,
2018-01-31,240.40835571289065,244.80791805224425,235.4076375509544,235.77355374090644,3878060,0.0035640743547162,-0.5058194651890938,0.09230585915571,0,
2018-02-01,240.46063232421875,247.77003401443844,237.5334116796596,239.2496706460718,3704257,0.0002174492278901,-0.5228239877860283,-0.0260968872093622,0,
2018-02-02,230.3285369873047,239.47616936908517,223.6987000992465,235.6254538168931,4947754,-0.0421361918538611,-0.4011628378880384,-1.5245579435260566,0,
2018-02-05,234.49285888671875,236.6186107868419,226.51265298486047,226.51265298486047,3432728,0.0180799216366471,-0.549389818158479,0.6058728464527219,0,
2018-02-06,237.37657165527344,240.6697082091199,222.252486075232,223.0365727039609,6417617,0.0122976570896249,-0.2573545112314328,0.4012977964751003,0,
2018-02-07,230.90353393554688,242.3511166119007,228.77778194564712,240.8003796620908,5578095,-0.0272690673497759,-0.339491590681291,-0.9985628573944402,0,
2018-02-08,233.0640869140625,236.3572231580916,230.9557713522334,230.9557713522334,1806177,0.0093569506784538,-0.7085281715503452,0.2972563510962926,0,
2018-02-09,228.48155212402344,237.31554792640512,225.64143172378647,231.9140964703956,4429421,-0.0196621231984521,-0.4518754562619266,-0.7294311068010763,0,
