Date,Open,High,Low,Close,Volume,daily_return,log_return,return_5d,return_10d,volume_ma,volume_std,volume_spike,volume_percentile,volume_price_corr,volatility,parkinson_vol,vol_ma,vol_spike,tr,atr,atr_ratio,vwap,vwap_deviation,vwap_rolling,vwap_rolling_deviation,rsi,rsi_overbought,rsi_oversold,rsi_change,price_change,rsi_divergence,macd,macd_signal,macd_histogram,macd_bullish_cross,macd_bearish_cross,macd_hist_change,gap_up,gap_down,intraday_range,range_percentile,close_position,is_anomaly,anomaly_score,anomaly_percentile,composite_risk,symbol
2018-01-01,456.23663593686734,462.3369745176479,451.42511316489066,453.5731201171875,4807939.0,,,,,4807939.0,0.0,0.0,1.0,,,0.01434411039169558,0.0,,,,,455.7784025998139,-0.004838497096853862,455.7784025998139,-0.004838497096853862,0.0,0,1,,,0,0.0,0.0,0.0,0,0,,0,0,0.02405755730383764,1.0,0.19685062758824826,0,,,,BHARTIARTL
2018-01-02,457.8691087310065,457.8691087310065,439.782891773545,443.8211364746094,5242199.0,-0.02150035619407642,-0.021734856166589933,,,5025069.0,307068.1907980701,0.7071067811842447,1.0,-1.0,,0.01989451484069421,0.0,,18.086216957461545,18.086216957461545,0.9999999447092807,451.2818102216133,-0.016532183574622637,451.2818102216133,-0.016532183574622637,0.0,0,1,0.0,-9.751983642578125,1,-0.7779360170717382,-0.15558720341434765,-0.6223488136573906,0,1,-0.6223488136573906,0,0,0.04075113920975934,1.0,0.22327745416771366,0,,,,BHARTIARTL
2018-01-03,446.0550198854551,451.51096435818687,442.274544461788,445.2388000488281,6333269.0,0.0031942227571215565,0.0031891320652656656,,,5461135.666666667,785880.3027391214,1.109753394114185,1.0,-0.619880601629024,0.01746170423493867,0.017754468066581944,0.01746170423493867,0.0,9.236419896398843,13.661318426930194,0.6761001340903673,449.37202936394306,-0.009197789439114534,449.3720293639431,-0.009197789439114661,12.69210357265149,0,1,12.69210357265149,1.41766357421875,0,-1.2654747080925972,-0.3775647043499976,-0.8879100037425995,0,0,-0.26556119008520895,0,0,0.020744867416408998,0.3333333333333333,0.3209311940511312,0,,,0.13591818752378282,BHARTIARTL
2018-01-04,445.926182738872,452.97162507779166,442.0597647797405,449.3629760742188,5953924.0,0.009262840581140797,0.009220203564345704,,,5584332.75,687349.003192398,0.5377053698818107,0.75,-0.4920449223827284,0.01629429668985281,0.01703026441332258,0.01687800046239574,-0.034581655107086925,10.911860298051181,12.744832383970524,0.8561791252426482,449.0413594360957,0.000716229431094598,449.0413594360957,0.000716229431094598,36.23579312000096,0,0,23.543689547349473,4.124176025390682,0,-1.3040340029285176,-0.5628585640657017,-0.7411754388628159,0,0,0.14673456487978365,0,0,0.024282953547036273,0.75,0.6692910673069734,0,,,0.07594263424704527,BHARTIARTL
2018-01-05,451.0813810955999,466.1174281019052,445.5395231885475,463.9694213867188,8008838.0,0.03250478141324997,0.03198767675104482,,,6069233.8,1236924.26227223,1.5680864699309716,1.0,0.6621035870766626,0.022190230917503533,0.01947005103363132,0.01864874394743167,0.1898946698707665,20.577904913357713,14.70310051631732,1.3995621869658323,451.5487627948601,0.02750679348000922,451.5487627948602,0.027506793480009093,67.38495176393035,0,0,31.149158643929383,14.6064453125,0,-0.15419696964698915,-0.4811262451819592,0.32692927553497003,1,0,1.068104714397786,0,0,0.04435185579149226,1.0,0.895615825816753,0,,,0.23461443965955622,BHARTIARTL
2018-01-08,458.9430790833267,458.9430790833267,441.801996297973,443.6492919921875,12287843.0,-0.043796268585542086,-0.04478428046093796,-0.021879224506152428,,7105668.666666667,2769326.3985186485,1.8712761110801095,1.0,-0.11546663516918919,0.02936937985431302,0.020074833468687846,0.02132890292415201,0.3769579711052843,22.1674250887458,16.195965430803017,1.3687003602690666,450.5638371457273,-0.015346427227707071,450.56383714572735,-0.015346427227707194,40.11971893432534,0,0,-27.265232829605004,-20.320129394531307,0,-0.8725492517434645,-0.5594108464942603,-0.3131384052492042,0,1,-0.6400676807841743,0,0,0.03863656058087207,0.6666666666666666,0.10777006386217687,0,,,0.16665515157305624,BHARTIARTL
2018-01-09,445.0669571453906,447.6875305787101,433.63955907588456,438.0215148925781,7541257.0,-0.01268519346517627,-0.012766337480505352,-0.013067474947451085,,7167895.571428572,2533392.830114842,0.1473760500673541,0.7142857142857143,-0.13214262561568918,0.026503346604528175,0.019944927493646486,0.022363791660227242,0.18509248855032132,14.047971502825533,15.837966442806769,0.8869807033986417,448.94347597414014,-0.024328142943908147,448.94347597414014,-0.024328142943908147,36.07688589485996,0,0,-4.042833039465378,-5.627777099609375,0,-1.8743567712837148,-0.8224000314521513,-1.0519567398315635,0,0,-0.7388183345823592,0,0,0.03207141885301978,0.5714285714285714,0.31192798931035776,0,,,0.029253731131756756,BHARTIARTL
2018-01-10,442.48934258842354,444.6373492470739,433.2958647794604,435.1001892089844,6667296.0,-0.006669365737229094,-0.006691705339618124,-0.02277117546523766,,7105320.625,2352134.2991788145,-0.18622432620141569,0.625,-0.07508890181479583,0.024198148391683143,0.019446695179743404,0.02266951778213656,0.06742812953090473,11.341484467613554,15.195611874922024,0.7463657149578281,447.62207907431764,-0.027974245290255308,447.62207907431764,-0.027974245290255308,34.28356871901843,0,0,-1.7933171758415298,-2.92132568359375,0,-2.8709287368935748,-1.232105772540436,-1.6388229643531387,0,0,-0.5868662245215752,0,0,0.02606637441865077,0.5,0.1590906618605105,0,,,0.0028095053971210304,BHARTIARTL
2018-01-11,436.4749396578568,443.95000668995056,432.35078179844464,442.2745666503906,5905519.0,0.01648902395204499,0.016354556145079347,-0.01577435125108617,,6972009.333333333,2236272.768598288,-0.47690529899057893,0.3333333333333333,-0.04309545965935504,0.023733470045231967,0.019085164314533148,0.02282151096257876,0.03995875318664601,11.599224891505912,14.74606350199501,0.7865980031442723,446.860035802607,-0.010261533309236,446.86003580260694,-0.010261533309235873,41.433199534466446,0,0,7.149630815448013,7.17437744140625,0,-3.0466865922660986,-1.5950219364855687,-1.45166465578053,0,0,0.18715830857260873,0,0,0.026226298638710947,0.5555555555555556,0.8555557883576652,0,,,0.015553836938332479,BHARTIARTL
2018-01-12,443.3485906518917,444.5085219611154,433.4677762070551,437.8067321777344,4847824.0,-0.010101947544697953,-0.01015331847390619,-0.05638882220037045,,6759590.8,2212797.981488284,-0.863959031051411,0.2,0.05396830596790691,0.022330045986513537,0.018725271172097498,0.022760077840570606,-0.01889329921321021,11.040745754060254,14.33436153000226,0.7702292816266949,446.2672392420489,-0.018958387041194576,446.26723924204884,-0.01895838704119445,38.804138468099026,0,0,-2.62906106636742,-4.46783447265625,0,-3.506076988541679,-1.977232946896791,-1.5288440416448879,0,0,-0.07717938586435791,0,0,0.025218309626997202,0.4,0.39299479168685697,0,,,0.0,BHARTIARTL
