Date,Open,High,Low,Close,Volume,daily_return,log_return,return_5d,return_10d,volume_ma,volume_std,volume_spike,volume_percentile,volume_price_corr,volatility,parkinson_vol,vol_ma,vol_spike,tr,atr,atr_ratio,vwap,vwap_deviation,vwap_rolling,vwap_rolling_deviation,rsi,rsi_overbought,rsi_oversold,rsi_change,price_change,rsi_divergence,macd,macd_signal,macd_histogram,macd_bullish_cross,macd_bearish_cross,macd_hist_change,gap_up,gap_down,intraday_range,range_percentile,close_position,is_anomaly,anomaly_score,anomaly_percentile,composite_risk,symbol
2018-01-01,171.3635151881959,171.41221481233896,167.55543344020427,168.06675720214844,5353190.0,,,,,5353190.0,0.0,0.0,1.0,,,0.01366698703164259,0.0,,,,,169.01146848486565,-0.005589628240004169,169.01146848486565,-0.005589628240004169,0.0,0,1,,,0,0.0,0.0,0.0,0,0,,0,0,0.02294791315898297,1.0,0.13257781036298308,0,,,,BAJFINANCE
2018-01-02,169.43514974321548,169.43514974321548,166.54256712531364,167.96937561035156,5762080.0,-0.0005794220904717928,-0.0005795900203225661,,,5557635.0,289128.8917593674,0.7071067811841019,1.0,-1.0,,0.012118748168374703,0.0,,2.8925826179018372,2.8925826179018372,0.9999996542883,168.47798783613905,-0.003018864537148302,168.47798783613905,-0.003018864537148302,0.0,0,1,0.0,-0.097381591796875,1,-0.007768332109151288,-0.0015536664218302578,-0.00621466568732103,0,1,-0.00621466568732103,0,0,0.01722089273815626,0.5,0.49326438696796354,0,,,,BAJFINANCE
2018-01-03,168.19824630123594,169.30366989988323,166.63996223096063,167.05874633789062,4161360.0,-0.00542140059253049,-0.005436149716147733,,,5092210.0,831660.417418071,-1.1192669273460778,0.3333333333333333,0.9440616063315249,0.003423795833165186,0.011320092642666217,0.003423795833165186,0.0,2.663707668922598,2.7781451434122175,0.9588076117734172,168.25719959683207,-0.007122745740986765,168.25719959683207,-0.007122745740986765,0.0,0,1,0.0,-0.9106292724609375,1,-0.08640889515896788,-0.01852471216925778,-0.0678841829897101,0,0,-0.06166951730238908,0,0,0.015944736276125793,0.3333333333333333,0.15721843451422868,0,,,0.1875,BAJFINANCE
2018-01-04,168.00346545902423,171.2417901543597,166.93213306820277,170.82786560058594,7301470.0,0.02256163981424808,0.022310890554763835,,,5644525.0,1296654.7228027463,1.2778613850394966,1.0,0.9559244548867446,0.014955512095878885,0.012437472439699362,0.009189653964522036,0.6273610293254802,4.309657086156932,3.2886491243271223,1.310463844808883,168.71319612470214,0.012534108249521055,168.7131961247021,0.012534108249521225,78.89917181578637,1,0,78.89917181578637,3.7691192626953125,0,0.1536333273407422,0.015906895732742215,0.137726431608,1,0,0.2056106145977101,0,0,0.025228068300082312,1.0,0.903953969085543,0,,,0.3012064013632139,BAJFINANCE
2018-01-05,171.9965724519235,177.35320391167036,171.32455630920734,176.7201385498047,9843270.0,0.034492457822985045,0.03391092752728012,,,6484274.0,2187893.2829619455,1.5352650086530244,1.0,0.9769380166489641,0.018946198662122254,0.014492310602859123,0.012441835530388775,0.5227396211939042,6.525338311084425,4.097821421016448,1.5923916755440666,170.66216526632383,0.035496873243875265,170.66216526632383,0.035496873243875265,90.55227940424336,1,0,11.65310758845699,5.89227294921875,0,0.8099886562757774,0.17472324784134927,0.6352654084344281,0,0,0.4975389768264281,0,0,0.03411409484974961,1.0,0.8949903363737216,0,,,0.31361418904259264,BAJFINANCE
2018-01-08,177.25583661046122,179.4958858695049,177.25583661046122,178.89691162109375,8250220.0,0.012317628817813508,0.012242384088948233,0.06443959887867035,,6778598.333333333,2085488.5502578686,0.7056484038159772,0.8333333333333334,0.8897624889761367,0.016409099935997186,0.013583179286456339,0.013433651631790878,0.22147565755746154,2.7757473197002014,3.833406600753199,0.7240939677676891,172.2621178512662,0.03851568652511547,172.2621178512662,0.03851568652511547,92.15317942181719,1,0,1.6009000175738208,2.1767730712890625,0,1.4886422369826846,0.43750704566961635,1.0511351913130682,0,0,0.41586978287864007,0,0,0.012521452864802253,0.16666666666666666,0.7326063350619397,0,,,0.16532673387998442,BAJFINANCE
2018-01-09,179.49585605342224,179.49585605342224,176.28187416006423,177.2071075439453,5127210.0,-0.00944568613195218,-0.009490579548269193,0.05499652481308881,,6542685.714285715,2003489.145922326,-0.7065053070868421,0.2857142857142857,0.6365198391252214,0.017232380385368208,0.013227447098489376,0.014193397382506346,0.21409735975175723,3.21398189335801,3.7301691495206675,0.8616180400701056,172.86659533534663,0.025109028005494215,172.86659533534663,0.025109028005494215,81.44039410794991,1,0,-10.712785313867272,-1.6898040771484375,0,1.868587113296968,0.7237230591950867,1.1448640541018813,0,0,0.0937288627888131,0,0,0.018136867757542467,0.5714285714285714,0.28787750731130457,0,,,0.0982803293548197,BAJFINANCE
2018-01-10,177.2558164501971,177.34834127953502,174.72358455649294,175.522216796875,4067910.0,-0.00950803142392287,-0.009553521330643256,0.05066164235344073,,6233338.75,2050880.055992949,-1.0558534340763948,0.125,0.4621006463050882,0.017214292807194602,0.012771769964232956,0.01469687995328772,0.17127727685269123,2.6247567230420827,3.572253088595155,0.7347620460207267,173.11116887459409,0.013927743218577612,173.11116887459409,0.013927743218577612,72.98103452884139,1,0,-8.459359579108522,-1.6848907470703125,0,2.01056304382476,0.9810910561210214,1.0294719877037388,0,0,-0.11539206639814248,0,0,0.014953985632061755,0.25,0.3042689362797458,0,,,0.025768019007454165,BAJFINANCE
2018-01-11,175.11315618781086,175.11315618781086,172.68318324986367,173.3941650390625,8184710.0,-0.012124116232392401,-0.01219821284258563,0.015022721436307451,,6450157.777777778,2025694.8920850456,0.8562751621671875,0.7777777777777778,0.4516913287665995,0.017223203112460124,0.012362003812254545,0.015057783261740922,0.14379779648072716,2.8390335470113257,3.4806006458971765,0.8156732185534328,173.19844201334507,0.0011300507228136387,173.19844201334507,0.0011300507228136387,64.51691824748399,0,0,-8.464116281357406,-2.1280517578125,0,1.9291262332866097,1.1706980915541392,0.7584281417324705,0,0,-0.2710438459712683,0,0,0.01401415626290308,0.2222222222222222,0.29258823648102805,0,,,0.027398453907543318,BAJFINANCE
2018-01-12,173.65225590864748,174.42165643552144,170.5502816986258,172.3958740234375,6063160.0,-0.005757350689396645,-0.005773988121965246,-0.024469562789237398,,6411458.0,1913760.3739049695,-0.18199666204245132,0.6,0.45267598074136645,0.01643827543706131,0.01247830188041416,0.01523034478365597,0.07930558138907817,3.871374736895632,3.524019989341449,1.0985674457118073,173.12822515538278,-0.004230108216369023,173.12822515538278,-0.004230108216369023,61.18792773144425,0,0,-3.328990516039738,-0.998291015625,0,1.7637023692734033,1.289298947097992,0.4744034221754112,0,0,-0.2840247195570593,0,0,0.022456307242672207,0.7,0.47672777075666356,0,,,0.05330439922454491,BAJFINANCE
