symbol,total_days,anomalies_detected,avg_anomaly_score,max_anomaly_score,high_risk_days
RELIANCE,1935,193,0.1819315585288439,1.0,193
TCS,1935,193,0.18153173973341863,1.0,193
HDFCBANK,1935,193,0.17621965639634196,1.0,193
INFY,1935,193,0.18013915823003548,1.0,193
ICICIBANK,1935,193,0.1719619167030311,1.0,193
SBIN,1935,193,0.17591746356219512,1.0,193
BHARTIARTL,1935,193,0.2003134430659813,1.0,193
HINDUNILVR,1935,193,0.1912879482458814,1.0,193
HCLTECH,1935,193,0.2094111267821262,1.0,193
ITC,1935,193,0.17590094355641636,1.0,193
AXISBANK,1935,193,0.1799474510175371,1.0,193
KOTAKBANK,1935,193,0.16811432100753745,1.0,193
LT,1935,193,0.17115311578010645,1.0,193
BAJFINANCE,1935,193,0.1682093903277592,1.0,193
BAJAJFINSV,1935,193,0.1747230301646844,1.0,193
MARUTI,1935,193,0.17910240009460243,1.0,193
SUNPHARMA,1935,193,0.19674049310478517,1.0,193
TECHM,1935,193,0.1771292295839833,1.0,193
ONGC,1935,193,0.1859365093387242,1.0,193
TATAMOTORS,1934,193,0.1746460976903048,1.0,193
TATASTEEL,1935,193,0.20749515738833724,1.0,193
JSWSTEEL,1935,193,0.18057628614226487,1.0,193
ULTRACEMCO,1935,193,0.18578065466499022,1.0,193
ADANIENT,1935,193,0.1660375714237422,1.0,193
ADANIPORTS,1935,193,0.17492709309874238,1.0,193
EICHERMOT,1935,193,0.2172759082707134,1.0,193
GRASIM,1935,193,0.1944842105966848,1.0,193
WIPRO,1935,193,0.20594748495894538,1.0,193
DRREDDY,1935,193,0.17979427285232966,1.0,193
CIPLA,1935,193,0.17884466734808072,1.0,193
HINDALCO,1935,193,0.20381871059688572,1.0,193
NTPC,1935,193,0.17505982888202481,1.0,193
POWERGRID,1935,193,0.18489547712951426,1.0,193
TITAN,1935,193,0.19199731039704956,1.0,193
SBILIFE,1935,193,0.16493535949030827,1.0,193
NESTLEIND,1935,193,0.19251063528358286,1.0,193
COALINDIA,1935,193,0.21084530175158156,1.0,193
BEL,1935,193,0.19863229409529418,1.0,193
INDIGO,1935,193,0.20978646118491612,1.0,193
MAXHEALTH,1287,128,0.21989444928950017,1.0,128
SHRIRAMFIN,1935,193,0.18609244269650135,1.0,193
TATACONSUM,1935,193,0.18445204555793684,1.0,193
JIOFIN,539,53,0.20883863507043302,1.0,53
TRENT,1935,193,0.19940685366092006,1.0,193
