Date,Open,High,Low,Close,Volume,daily_return,log_return,return_5d,return_10d,volume_ma,volume_std,volume_spike,volume_percentile,volume_price_corr,volatility,parkinson_vol,vol_ma,vol_spike,tr,atr,atr_ratio,vwap,vwap_deviation,vwap_rolling,vwap_rolling_deviation,rsi,rsi_overbought,rsi_oversold,rsi_change,price_change,rsi_divergence,macd,macd_signal,macd_histogram,macd_bullish_cross,macd_bearish_cross,macd_hist_change,gap_up,gap_down,intraday_range,range_percentile,close_position,is_anomaly,anomaly_score,anomaly_percentile,composite_risk,symbol
2018-01-01,407.5852081610255,407.5852081610255,400.8709111867806,401.8648071289063,9453202.0,,,,,9453202.0,0.0,0.0,1.0,,,0.0099756533334325,0.0,,,,,403.4403088255281,-0.003905166782424779,403.4403088255281,-0.003905166782424779,0.0,0,1,,,0,0.0,0.0,0.0,0,0,,0,0,0.016707850098909804,1.0,0.14802678492050464,0,,,,RELIANCE
2018-01-02,403.3004239092856,406.19376806809856,400.38499382912,402.4832153320313,9499419.0,0.0015388463785699358,0.0015376635677687813,,,9476310.5,32680.354106098668,0.7071067811649104,1.0,1.0,,0.009336535912621898,0.0,,5.808774238978572,5.808774238978572,0.9999998278466701,403.2299722815718,-0.0018519380974167904,403.2299722815718,-0.0018519380974167904,99.99967659007082,1,0,99.99967659007082,0.618408203125,0,0.04933170851137447,0.009866341702274895,0.03946536680909958,1,0,0.03946536680909958,0,0,0.014432339047366844,0.5,0.36121581858282936,0,,,,RELIANCE
2018-01-03,408.60119648615387,409.0429444047575,403.3225137949618,404.0955505371094,13507800.0,0.0040059688048057485,0.003997966276572784,,,10820140.333333334,2327696.257169808,1.1546436346181075,1.0,0.9659032225497534,0.001744518997608751,0.009053192819199193,0.001744518997608751,0.0,6.559729072726213,6.184251655852393,1.0607149218779885,404.16919356750117,-0.00018220842009148593,404.16919356750117,-0.00018220842009148593,99.9998655158655,1,0,0.0001889257946743328,1.6123352050780682,0,0.2160390553740399,0.05110088443662789,0.164938170937412,0,0,0.1254728041283124,0,0,0.01415613358780163,0.3333333333333333,0.13513608672880575,0,,,0.21636525033961204,RELIANCE
2018-01-04,405.5753308308426,407.187662056238,404.4930912025674,406.5250549316406,9008932.0,0.006012202785460108,0.005994201609407086,,,10367338.25,2105286.714546402,-0.6452357489426482,0.25,0.01052969099176194,0.002240631808003912,0.008089816281150488,0.0019925754028063316,0.12442790217435185,3.0921115191286503,5.153538276944478,0.599997662375818,404.5818271570937,0.004803052533027749,404.58182715709364,0.00480305253302789,99.99991416772806,1,0,4.8651862570636695e-05,2.42950439453125,0,0.537994859398566,0.14847967942901552,0.38951517996955043,0,0,0.22457700903213842,0,0,0.006628302030474856,0.25,0.7540952104525315,0,,,0.19268395947223174,RELIANCE
2018-01-05,407.18766379869743,409.44048674987306,406.5029707499239,407.8281555175781,7441284.0,0.0032054619269570317,0.003200335386240432,,,9782127.4,2244222.0940946997,-1.0430533618568771,0.2,-0.40924238999357954,0.0018578392083419691,0.007489719903426311,0.0019476633379848774,-0.046095253034213614,2.9375159999491416,4.599532707695644,0.6386551739004062,405.090287053427,0.0067586623152763045,405.0902870534269,0.0067586623152765864,99.99991615455811,1,0,1.986830042710608e-06,1.3031005859375,0,0.8880594835450211,0.29639564025221665,0.5916638432928044,0,0,0.20214866332325399,0,0,0.007202827840609208,0.4,0.4511241186611517,0,,,0.18749947596598818,RELIANCE
2018-01-08,409.08710243343984,411.2515816485914,407.9386050633928,410.1693420410156,8827020.0,0.005740620140525232,0.00572420557063957,0.020664996697373095,,9622942.833333334,2044814.075579334,-0.38923970782402056,0.3333333333333333,-0.419058559426752,0.001851803183287226,0.007118941439256275,0.0019236982993104646,-0.03735396661855805,3.4234261310132865,4.3643113923591725,0.7844136311156038,405.8082526301174,0.010746674992158303,405.8082526301174,0.010746674992158303,99.99992775037099,1,0,1.1595812878795186e-05,2.3411865234375,0,1.3389676213294024,0.5049100364676538,0.8340575848617486,0,0,0.24239374156894422,0,0,0.008077094598626123,0.5,0.6733329520818637,0,,,0.18749954843981867,RELIANCE
2018-01-09,409.9926471118475,416.949918953857,408.15948609823374,415.6468200683594,14294571.0,0.013354186834363624,0.01326580565113244,0.032705971913558285,,10290318.285714285,2569458.5287223915,1.5584033248729592,1.0,0.3581986837326269,0.004124894729279823,0.00817517880543321,0.0023639375853043362,0.7446104095592335,8.790432855623237,5.1019983029031835,1.7229388586198413,407.3516049328062,0.020363771775387323,407.35160493280614,0.020363771775387465,99.99994920918682,1,0,2.1458815837149814e-05,5.47747802734375,0,2.1139341517311436,0.8267148595203517,1.287219292210792,0,0,0.45316170734904326,0,0,0.021148803286955772,1.0,0.8517593207684497,0,,,0.38248519941087633,RELIANCE
2018-01-10,416.5523147002275,418.49593454204944,413.2393383964344,416.2651977539063,11727682.0,0.0014877479044475006,0.0014866423039679273,0.03011576643351166,,10469988.75,2432531.4687789017,0.5170306185723584,0.75,0.40599380079588526,0.004079878826263007,0.008104487314859108,0.0026499277921307814,0.5394153090012496,5.256596145615049,5.1240837090048785,1.0258605085855235,408.5625358805827,0.01885307921801701,408.56253588058263,0.018853079218017148,99.99994444598231,1,0,-4.7632045152568026e-06,0.6183776855469318,1,2.74634051768237,1.2106399911527554,1.5357005265296144,0,0,0.24848123431882252,0,0,0.012627998115986437,0.5,0.5756308261126741,0,,,0.22290105612675043,RELIANCE
2018-01-11,416.0222348217441,416.3977249415919,413.0184612990072,414.2332458496094,7849171.0,-0.004881387911506829,-0.004893340799129822,0.018961170595659604,,10178786.777777778,2437364.4528280324,-0.9557929570499024,0.2222222222222222,0.2220715182684677,0.005157013914304778,0.00781316713629058,0.0030080829524413524,0.7141481294558325,3.3792636425847036,4.905981200702357,0.6888047090959517,409.0755324453662,0.012608217755785198,409.0755324453662,0.012608217755785198,87.63438756361688,1,0,-12.365556882365425,-2.031951904296932,0,3.0484252334816233,1.5781970396185292,1.4702281938630941,0,0,-0.0654723326665203,0,0,0.008157876433833356,0.4444444444444444,0.3594819225738518,0,,,0.1399710943332652,RELIANCE
2018-01-12,416.55235874310455,420.8813172634133,414.4541372467991,419.2027282714844,15071161.0,0.011996821770503763,0.011925430317361815,0.027890601960697703,,10668024.2,2770233.7804379454,1.5894459273044894,1.0,0.4520514513491765,0.0055426780126614115,0.007967563182595814,0.0033249073349688597,0.6668167373079613,6.648071413803905,5.099546779935862,1.3036590106990857,410.36167282681214,0.02154454474811283,410.36167282681214,0.02154454474811283,90.5056650098796,1,0,2.8712774462627237,4.969482421875,0,3.646787352351623,1.9919151021651482,1.654872250186475,0,0,0.18464405632338088,0,0,0.015331913577432327,0.8,0.7388295136561772,0,,,0.27068058521552485,RELIANCE
