acquirerName,acquirerDate,symbol,noOfShareAcq,noOfShareSale,noOfShareAft,regType,company,application_no,promoterType,acqSaleType,acquisitionMode,acqType,totAcqShare,totAcqDiluted,totSaleShare,totSaleDiluted,totAftShare,totAftDiluted,remarks,attachement,timestamp,time,sysTime,timeDifference
Citicorp International Ltd,27-OCT-2025 to 27-OCT-2025,VEDL,492820420.0,,2095867334,Reg29(1),Vedanta Limited,158857,N,Acquisition,Others,Equity shares,12.6,12.6,,,53.6,53.6,,https://nsearchives.nseindia.com/corporate/VEDL29_1_10302025213538_47949.zip,30-Oct-2025 21:35,"30-Oct-2025, 21-35",30-Oct-2025 21:35,00:00:10
Axis Trustee Services ltd,17-OCT-2025 to 17-OCT-2025,VEDL,0.0,,2204724753,Reg29(2),Vedanta Limited,158848,N,Acquisition,Others,Equity shares,0.0,0,,,56.38,56.38,,https://nsearchives.nseindia.com/corporate/VEDL_10292025183715_47946.zip,29-Oct-2025 18:37,"29-Oct-2025, 18-37",29-Oct-2025 18:37,00:00:05
Citicorp International Ltd,15-OCT-2025 to 15-OCT-2025,VEDL,2095867334.0,,2095867334,Reg29(1),Vedanta Limited,158713,N,Acquisition,Others,Others,53.6,53.6,,,53.6,53.6,,https://nsearchives.nseindia.com/corporate/VEDL1_10232025155507_47901.zip,23-Oct-2025 15:55,"23-Oct-2025, 15-55",23-Oct-2025 15:55,00:00:04
"Union Bank of India, DIFC Branch (as agent on behalf of the Finance Parties)",06-OCT-2025 to 06-OCT-2025,VEDL,,2204724753.0,0,Reg29(2),Vedanta Limited,158536,N,Sale,Others,Equity shares,,-,0.0,0.0,0.0,0.0,,https://nsearchives.nseindia.com/corporate/Disclosure3_10092025161823_47844.zip,09-Oct-2025 16:18,"09-Oct-2025, 16-18",09-Oct-2025 16:18,00:00:04
Canara Bank acting through its London Branch,29-AUG-2025 to 29-AUG-2025,VEDL,,2204724753.0,0,Reg29(2),Vedanta Limited,156585,N,Sale,Others,Equity shares,,-,56.38,56.38,0.0,0.0,,https://nsearchives.nseindia.com/corporate/29_09082025112814_47274.zip,08-Sep-2025 11:28,"08-Sep-2025, 11-28",08-Sep-2025 11:28,00:00:05
Standard Chartered Bank (Singapore) Limited,01-AUG-2025 to 01-AUG-2025,VEDL,,2204724753.0,0,Reg29(2),Vedanta Limited,155005,N,Sale,Others,Equity shares,,-,56.38,56.38,0.0,0.0,,https://nsearchives.nseindia.com/corporate/VEDL_08052025185127_46846.zip,05-Aug-2025 18:51,"05-Aug-2025, 18-51",05-Aug-2025 18:51,00:00:04
Axis Trustee Services Ltd,07-JUL-2025 to 07-JUL-2025,VEDL,0.0,,2204724753,Reg29(2),Vedanta Limited,154249,N,Acquisition,Others,Others,0.0,0,,,56.38,56.38,,https://nsearchives.nseindia.com/corporate/VEDL_07092025183319_46605.zip,09-Jul-2025 18:33,"09-Jul-2025, 18-33",09-Jul-2025 18:33,00:00:06
Canara Bank acting through its London Branch,03-JUL-2025 to 03-JUL-2025,VEDL,,0.0,2204724753,Reg29(2),Vedanta Limited,154222,N,Sale,Others,Equity shares,,-,0.0,0.0,56.38,56.38,,https://nsearchives.nseindia.com/corporate/VEDL_07082025120014_46596.zip,08-Jul-2025 12:00,"08-Jul-2025, 12-00",08-Jul-2025 12:00,00:00:04
"Madison Pacific Trust Limited (in its capacity as the Agent under the Facilities Agreement, acting for the benefit of the Lenders)",24-JUN-2025 to 24-JUN-2025,VEDL,0.0,,2204724753,Reg29(1),Vedanta Limited,153403,N,Acquisition,Others,Equity shares,0.0,0,,,56.38,56.38,,https://nsearchives.nseindia.com/corporate/Disclosure2_06252025160053_46357.zip,25-Jun-2025 16:00,"25-Jun-2025, 16-00",25-Jun-2025 16:00,00:00:04
"Madison Pacific Trust Limited (in its capacity as the Agent under the Facility Agreement, acting for the benefit of the Lenders)",17-APR-2025 to 17-APR-2025,VEDL,2204724753.0,,2204724753,Reg29(1),Vedanta Limited,150071,N,Acquisition,Others,Equity shares,56.38,56.38,,,56.38,56.38,,https://nsearchives.nseindia.com/corporate/Disclosure_04222025151543_45362.zip,22-Apr-2025 15:15,"22-Apr-2025, 15-15",22-Apr-2025 15:15,00:00:03
Axis Trustee Services Ltd,18-FEB-2025 to 18-FEB-2025,VEDL,0.0,,2204724753,Reg29(2),Vedanta Limited,146645,N,Acquisition,Others,Equity shares,0.0,0,,,56.38,56.38,,https://nsearchives.nseindia.com/corporate/VEDL_02212025181526_44298.zip,21-Feb-2025 18:15,"21-Feb-2025, 18-15",21-Feb-2025 18:15,00:00:05
Citicorp International Limited (as trustee for the holders of the Bonds),24-JAN-2025 to 24-JAN-2025,VEDL,1603046914.0,,1603046914,Reg29(1),Vedanta Limited,145196,N,Acquisition,Others,Equity shares,40.99,40.99,,,40.99,40.99,,https://nsearchives.nseindia.com/corporate/Project_01312025193718_43853.zip,31-Jan-2025 19:37,"31-Jan-2025, 19-37",31-Jan-2025 19:37,00:00:04
"Axis Trustee Services Limited (acting as the Onshore Collateral Agent for and on behalf of the Bondholders) has been appointed by the Issuer, to make the filing and disclosures for all encumbrances in relation to the Bonds",04-DEC-2024 to 04-DEC-2024,VEDL,,0.0,2204724753,Reg29(2),Vedanta Limited,142726,N,Sale,Others,Equity shares,,-,0.0,0.0,56.38,56.38,,https://nsearchives.nseindia.com/corporate/Disclosure7_12132024095815_43146.zip,13-Dec-2024 09:58,"13-Dec-2024, 09-58",13-Dec-2024 09:58,00:00:03
