Symbol,auc,precision,recall,f1
ADANIENT_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
ADANIPORTS_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
AXISBANK_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
BAJAJFINSV_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
BAJFINANCE_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
BEL_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
BHARTIARTL_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
CIPLA_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
COALINDIA_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
DRREDDY_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
EICHERMOT_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
GRASIM_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
HCLTECH_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
HDFCBANK_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
HINDALCO_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
HINDUNILVR_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
ICICIBANK_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
INDIGO_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
INFY_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
ITC_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
JIOFIN_NS_processed,0.5502809819580006,0.16666666666666666,0.07142857142857142,0.1
JSWSTEEL_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
KOTAKBANK_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
LT_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
MARUTI_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
MAXHEALTH_NS_processed,0.49900860585197937,0.08450704225352113,0.048,0.061224489795918366
NESTLEIND_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
NTPC_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
ONGC_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
POWERGRID_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
RELIANCE_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
SBILIFE_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
SBIN_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
SHRIRAMFIN_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
SUNPHARMA_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
TATACONSUM_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
TATAMOTORS_NS_processed,0.500342198666221,0.05714285714285714,0.0335195530726257,0.04225352112676056
TATASTEEL_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
TCS_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
TECHM_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
TITAN_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
TRENT_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
ULTRACEMCO_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
VEDL_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
WIPRO_NS_processed,0.47237733459955683,0.08490566037735849,0.05,0.06293706293706294
