symbol,file,n_rows,iso_mean,mtad_mean,tranad_mean,graph_score,composite_score,finbert,final_score
WIPRO,WIPRO_ohlcv.csv,1936,0.1838366044816358,0.25168785599515414,0.37024649292851597,0.9774088450789338,0.3954342650332283,0.5,0.41634741202658265
HCLTECH,HCLTECH_ohlcv.csv,1936,0.18874842668376368,0.23548231159661553,0.20548696547618925,1.0,0.36807206945435655,0.5,0.3944576555634852
LT,LT_ohlcv.csv,1936,0.16161979983398747,0.2424102214044947,0.19429927488777682,1.0,0.36218674302367354,0.5,0.38974939441893885
DRREDDY,DRREDDY_ohlcv.csv,1936,0.17715726688003577,0.16144007063022323,0.42654880585233096,0.7321818163201099,0.3265103559605131,0.5,0.3612082847684105
BAJAJFINSV,BAJAJFINSV_ohlcv.csv,1936,0.15732139239402693,0.21141487195559355,0.31862316642058824,0.7699880616276695,0.3213769086763315,0.5,0.35710152694106523
INFY,INFY_ohlcv.csv,1936,0.17230303056744678,0.1752468984599382,0.16028504044064673,0.9024494530071321,0.32083142002703896,0.5,0.3566651360216312
JIOFIN,JIOFIN_ohlcv.csv,540,0.17462629561201917,0.24874302663147202,0.4278279144741122,0.5793671652355405,0.3044412731934358,0.5,0.3435530185547486
HDFCBANK,HDFCBANK_ohlcv.csv,1936,0.1693633418291297,0.16559075159669356,0.214880285323423,0.8015315690132692,0.30347683826880095,0.5,0.3427814706150408
BAJFINANCE,BAJFINANCE_ohlcv.csv,1936,0.17766695317385656,0.26682710787731123,0.21655665411652675,0.7038637680943562,0.2999129511175318,0.5,0.33993036089402545
CIPLA,CIPLA_ohlcv.csv,1936,0.1760303631372179,0.22854254151096803,0.43432418928687677,0.5630029941328577,0.2980439536460387,0.5,0.33843516291683096
TECHM,TECHM_ohlcv.csv,1936,0.1783303880338915,0.1768970796636946,0.3355146725043431,0.6351488311786948,0.2883013590825354,0.5,0.33064108726602837
TATACONSUM,TATACONSUM_ohlcv.csv,1936,0.17568234834244237,0.16481392245235704,0.23462799475559953,0.7162900486193091,0.2869083119455271,0.5,0.32952664955642164
HINDUNILVR,HINDUNILVR_ohlcv.csv,1936,0.17070882451617617,0.17903737158373131,0.13870583693725602,0.7675903899494114,0.283482353681821,0.5,0.32678588294545685
JSWSTEEL,JSWSTEEL_ohlcv.csv,1936,0.16953472302274977,0.15072881619767967,0.2653397234017045,0.6917143799817798,0.28272920673709506,0.5,0.32618336538967607
KOTAKBANK,KOTAKBANK_ohlcv.csv,1936,0.1679951184945283,0.18663658922302018,0.15507243056685013,0.7392101608451529,0.28037206613961296,0.5,0.3242976529116904
TRENT,TRENT_ohlcv.csv,1936,0.20097766692825383,0.18123761448402698,0.24328342552095106,0.6351488311786948,0.27606821534465464,0.5,0.3208545722757237
TITAN,TITAN_ohlcv.csv,1936,0.192946902559715,0.16316522642873754,0.3512630655968691,0.5630029941328577,0.27338359751796226,0.5,0.3187068780143698
RELIANCE,RELIANCE_ohlcv.csv,1936,0.17363355700196562,0.2501685666933448,0.26514784875335096,0.5630029941328577,0.2699288683673384,0.5,0.3159430946938707
ULTRACEMCO,ULTRACEMCO_ohlcv.csv,1936,0.18392428357317558,0.2266567311765273,0.2385229441295203,0.5599584020582464,0.26169659280441593,0.5,0.30935727424353276
SBIN,SBIN_ohlcv.csv,1936,0.16651435476761808,0.18344444531212167,0.19733437312247387,0.6351488311786948,0.2614046777700888,0.5,0.3091237422160711
SHRIRAMFIN,SHRIRAMFIN_ohlcv.csv,1936,0.16975510911575284,0.23180443987041327,0.2314628617361769,0.5630029941328577,0.2594424505436537,0.5,0.307553960434923
BHARTIARTL,BHARTIARTL_ohlcv.csv,1936,0.1847730946140115,0.1634390920160355,0.14692176595719222,0.6351488311786948,0.251624823904781,0.5,0.30129985912382484
GRASIM,GRASIM_ohlcv.csv,1936,0.17674403412319356,0.21636999334850188,0.19581688819346166,0.5618196547511758,0.2508794603750109,0.5,0.30070356830000877
TATACONSUM_NS,TATACONSUM_ohlcv.csv,1936,0.17568234834244237,0.17895646356088785,0.45615816946530396,,0.20269924534215855,0.5,0.26215939627372686
TECHM_NS,TECHM_ohlcv.csv,1936,0.1783303880338915,0.24685025486253448,0.3633569972954867,,0.19713441004797816,0.5,0.25770752803838254
ICICIBANK_NS,ICICIBANK_ohlcv.csv,1936,0.17447503711234677,0.18895403420299559,0.4204303034566648,,0.1959648436930018,0.5,0.25677187495440146
DRREDDY_NS,DRREDDY_ohlcv.csv,1936,0.17715726688003577,0.18357116951515692,0.3907228976614312,,0.18786283351415597,0.5,0.2502902668113248
SHRIRAMFIN_NS,SHRIRAMFIN_ohlcv.csv,1936,0.16975510911575284,0.2495271472388489,0.3208047899445441,,0.18502176157478645,0.5,0.24801740925982918
TITAN_NS,TITAN_ohlcv.csv,1936,0.192946902559715,0.20321596409679019,0.30116062900414214,,0.17433087391516183,0.5,0.23946469913212948
JIOFIN_NS,JIOFIN_ohlcv.csv,540,0.17462629561201917,0.22771547857816563,0.29275776628401345,,0.17377488511854955,0.5,0.23901990809483964
RELIANCE_NS,RELIANCE_ohlcv.csv,1936,0.17363355700196562,0.23213947558574488,0.2768553955697255,,0.170657107039359,0.5,0.2365256856314872
ITC,ITC_ohlcv.csv,1936,0.17828966495754922,0.2310778052701468,0.37877190685931394,0.08985581768303808,0.1702400876245739,0.5,0.23619207009965915
LT_NS,LT_ohlcv.csv,1936,0.16161979983398747,0.28252211800568616,0.22764144857648935,,0.16794584160404075,0.5,0.23435667328323262
INFY_NS,INFY_ohlcv.csv,1936,0.17230303056744678,0.18297670567197563,0.3125031426241811,,0.1669457197159009,0.5,0.2335565757727207
WIPRO_NS,WIPRO_ohlcv.csv,1936,0.1838366044816358,0.162748446454431,0.3204665374706858,,0.16676289710168818,0.5,0.23341031768135057
AXISBANK,AXISBANK_ohlcv.csv,1936,0.15611633242857922,0.2900835075441896,0.22073945073682405,,0.1667348226773982,0.5,0.23338785814191856
NESTLEIND_NS,NESTLEIND_ohlcv.csv,1936,0.17687600337204124,0.16226032051182832,0.3261898799011905,,0.166331550946265,0.5,0.23306524075701202
