Date,Close,High,Low,Open,Volume,daily_return,log_return,return_5d,return_10d,volume_ma,volume_std,volume_spike,volume_percentile,volume_price_corr,volatility,parkinson_vol,vol_ma,vol_spike,tr,atr,atr_ratio,vwap,vwap_deviation,vwap_rolling,vwap_rolling_deviation,rsi,rsi_overbought,rsi_oversold,rsi_change,price_change,rsi_divergence,macd,macd_signal,macd_histogram,macd_bullish_cross,macd_bearish_cross,macd_hist_change,gap_up,gap_down,intraday_range,range_percentile,close_position,iso_is_anom,iso_score,mtad_is_anom,mtad_score
2018-03-14,1169.0433349609375,1176.2338750904355,1163.9389238048848,1169.4871968005943,760665.0,-0.002764140172781371,-0.0027679674626328215,0.017815052494490002,-0.02187393077498956,1079621.0,431763.09411385504,-0.7387291881781152,0.22,0.4591942333056835,0.010312498112212633,0.009549474522807659,0.009327830335203832,0.10556234794818832,12.294951285550724,18.569280047821604,0.6621124380280405,1196.135260669656,-0.022649550263678715,1170.0469261601984,-0.0008577358538546479,44.98170586222296,0,0,-0.822255365319009,-3.2403564453125,0,-9.16814557355724,-10.07186495061472,0.903719377057481,0,0,0.6320123647141855,0,0,0.010517104813698828,0.06,0.41516318666804025,0,0.05049496310524337,0,0.09709987539930864
2018-03-15,1153.99658203125,1171.7954886709692,1148.9365994033349,1166.380394828087,536838.0,-0.012870996719886563,-0.012954545678009004,0.005258564147847089,-0.013507692384752024,962733.7857142857,319945.23818211857,-1.3311521313277268,0.04,0.5133466011409503,0.01080674354224284,0.009745763606998248,0.00942860184447956,0.14616605667828947,22.858889267634368,18.89900311658591,1.2095288373365949,1195.782002725217,-0.03494401203455307,1168.650733945392,-0.012539376811630155,41.12535930916334,0,0,-3.856346553059616,-15.0467529296875,0,-9.591799112781928,-9.975851783048164,0.3840526702662359,0,0,-0.519666706791245,0,0,0.019808454915333142,0.74,0.22135732705342537,0,0.15402117937927517,0,0.13072047078118487
2018-03-16,1153.286376953125,1163.5395216510203,1137.2629192880229,1156.7040918524235,3646692.0,-0.0006154308333174985,-0.00061562028860787,-0.0012298934515203586,-0.018954017204530604,1159161.2142857143,783966.4644799919,3.1730066251804168,1.0,0.016575971902064442,0.010803643697867266,0.010320727127579674,0.009532031393498615,0.13340411067381197,26.276602362997437,20.05304106099069,1.3103549871447242,1193.1365614249446,-0.0333995166690674,1164.3477582112396,-0.009500066608191372,41.82573507611031,0,0,0.7003757669469692,-0.710205078125,1,-9.871067685497565,-9.954894963538045,0.08382727804048073,0,0,-0.30022539222575517,0,0,0.02278410886322527,0.84,0.60979944983513,0,0.1743103632104691,0,0.1480267444547778
2018-03-19,1162.385498046875,1170.197402015437,1156.9259753202434,1161.1426631259378,1244199.0,0.007889732572571528,0.007858771376288478,-0.011176657017545,0.007424606044550641,1168770.5714285714,784137.621206764,0.09619284489289835,0.6,0.024797405070435506,0.010817672089928648,0.010133822707981952,0.009639989557086547,0.12216635751539859,16.911025062312092,19.856464020698272,0.8516634705873345,1192.53976594579,-0.025285754622173626,1163.1922143646407,-0.0006935365520870753,41.86521512802977,0,0,0.039480051919454695,9.09912109375,0,-9.251521235724795,-9.814220217975397,0.5626989822506019,0,0,0.47887170421012115,0,0,0.011417405600363967,0.16,0.41137421406226077,0,0.03393336691780302,0,0.04954987802603556
2018-03-20,1165.8031005859375,1172.2390971435225,1159.367104028353,1159.367104028353,1249242.0,0.0029401627470446723,0.00293584892205166,-0.005528176215211622,0.01550436394519239,1163962.2142857143,783367.6837815423,0.10886303772784624,0.6,-0.011041500968913183,0.010428693866862048,0.010049940849479116,0.009853706320851292,0.05835240760541298,12.871993115169516,19.558455165393298,0.6581293361700199,1192.0156242085332,-0.021990083930299224,1160.9532696588083,0.004177455763185342,37.98116819069077,0,0,-3.8840469373390007,3.4176025390625,1,-8.38806189178149,-9.528988552736616,1.1409266609551256,0,0,0.5782276787045237,0,0,0.011041309727765312,0.12,0.4999999999611383,0,0.012235378720161116,0,0.05361489193609931
2018-03-21,1167.8895263671875,1174.5474555328162,1158.479674819379,1165.8033969015703,1698614.0,0.0017896896827613862,0.0017880900964055283,-0.000986968198051108,0.016810501406180123,1152247.4285714286,773277.3007522757,0.7065596919721333,0.86,-0.03568764317075456,0.00880300274680524,0.009735859847098578,0.009826799344943914,-0.1041841252697719,16.067780713437287,18.464650165393046,0.8701914506174491,1191.365407392239,-0.019705021548693198,1160.087475212859,0.006725399007424093,49.03559173491846,0,0,11.054423544227696,2.08642578125,0,-7.449533433016086,-9.11309752879251,1.6635640957764242,0,0,0.5226374348212985,0,0,0.013757962847225481,0.36,0.5856348001658735,0,0.03393532240534469,0,0.019165383711151347
2018-03-22,1164.5601806640625,1172.2390114616846,1162.074619607839,1165.137222675851,950972.0,-0.002850736844503765,-0.0028548079336921973,0.00915392540783655,0.014460626059645598,1151463.642857143,773490.5585177453,-0.25920373642484873,0.4,-0.01736785777284396,0.008707293801780466,0.009671188615401827,0.009836677375671203,-0.11481351028859611,10.1643918538457,18.255397823784488,0.5567882963386307,1191.0061576409944,-0.02220473572470085,1159.6223844679741,0.004258107002952967,44.29621214257762,0,0,-4.739379592340839,-3.329345703125,0,-6.894912976591513,-8.66946061835231,1.7745476417607975,0,0,0.11098354598437332,0,0,0.008728094968901454,0.06,0.2445361308102866,0,0.0423745883712866,0,0.048239743172490974
2018-03-23,1155.5057373046875,1166.4691048593015,1139.6598887175576,1145.1637330810497,1301609.0,-0.007774989656792131,-0.007805372475402365,0.0019243792313110575,0.0006921189983757348,1184236.4285714286,769113.7160703187,0.15260756501427422,0.6,-0.04496562904872738,0.007386156225478052,0.009813631859809149,0.009664570339633862,-0.23574911230797815,26.809216141743946,18.236369717259954,1.4700961077192933,1190.2920730667831,-0.029225041944906466,1159.2377996284886,-0.003219410482468655,51.00647481686247,0,0,6.710262674284849,-9.054443359375,1,-7.104098551062862,-8.356388204894422,1.2522896538315607,0,0,-0.5222579879292368,0,0,0.023201283452088654,0.84,0.5910597498546665,0,0.05552622596588985,0,0.04391263155995705
2018-03-26,1175.6123046875,1180.583534742655,1152.2651326900468,1156.7037503044153,1032138.0,0.017400664257810394,0.017251006303710164,0.011379018976793498,7.518256694893921e-05,1205209.7142857143,759973.2875353561,-0.22773394423769439,0.42,-0.132235201656139,0.008525159608024704,0.010302955950592156,0.009605027270031591,-0.1124273278170513,28.318402052608235,19.07336307327304,1.4847094318046772,1189.9795355049528,-0.01207351083675917,1160.2178632942966,0.013268578152623379,64.07241068147492,0,0,13.065935864612449,20.1065673828125,0,-5.583089297662809,-7.8017284234481,2.218639125785291,0,0,0.9663494719537304,0,0,0.024088215085594663,0.86,0.8244523103124165,0,0.0839790345301531,0,0.0625067294290782
2018-03-27,1183.1580810546875,1189.5496477564543,1172.8160792352082,1188.6619241387257,1040328.0,0.0064185925386288645,0.006398081096480285,0.014886716684856305,0.009276244076545037,1213955.2857142857,757111.6543096208,-0.22932850752721415,0.42,-0.1988041678600709,0.008605751339134436,0.010352153597211757,0.009560519869823826,-0.09986574410427324,16.73356852124607,19.222372168108855,0.8705256757091409,1189.8581489291687,-0.005630980365605254,1161.9941584777264,0.018213450061288394,66.45539689750457,0,0,2.38298621602965,7.5457763671875,0,-3.7258481576147915,-6.986552370281439,3.2607042126666475,0,0,1.0420650868813564,0,0,0.014143138426874738,0.38,0.6180392308867245,0,0.020850165861403203,0,0.025986609085257593
