Date,Close,High,Low,Open,Volume,daily_return,log_return,return_5d,return_10d,volume_ma,volume_std,volume_spike,volume_percentile,volume_price_corr,volatility,parkinson_vol,vol_ma,vol_spike,tr,atr,atr_ratio,vwap,vwap_deviation,vwap_rolling,vwap_rolling_deviation,rsi,rsi_overbought,rsi_oversold,rsi_change,price_change,rsi_divergence,macd,macd_signal,macd_histogram,macd_bullish_cross,macd_bearish_cross,macd_hist_change,gap_up,gap_down,intraday_range,range_percentile,close_position,iso_is_anom,iso_score,mtad_is_anom,mtad_score
2018-03-14,410.3901977539063,411.7153824792569,406.0391534398378,410.27976815072793,14724464.0,-0.003004553909078278,-0.003009076642644313,0.04416975727264294,-0.02256699412842389,14336944.9,10522692.318984652,0.03682699144408622,0.76,0.33729162389364997,0.014537452026860482,0.011619544739584481,0.013948359034110699,0.042233853392739835,5.676229039419127,7.736611942201425,0.7336840830445338,411.89685913525017,-0.003657860816184269,411.4637119180473,-0.002609012977436501,49.89646551327401,0,0,-3.6784749696749017,-1.2367553710936932,0,-0.5537776372791541,-0.5826825042324583,0.028904866953304187,1,0,0.22708896794148903,0,0,0.013831297800170877,0.24,0.7665378340242688,0,0.07692094561644947,1,0.10842289207225453
2018-03-15,402.7703552246094,410.5669218033103,401.9752620106834,408.6012157166783,12711836.0,-0.018567311234529593,-0.018741847581195563,0.0003839940428622679,-0.04478543427917192,13860145.25,10360161.939215899,-0.1108389286516219,0.56,0.3249945947281971,0.015324066085522177,0.011953943467052242,0.013877168249246338,0.10426462416709516,8.5916597926269,8.00322690813687,1.0735244533449684,411.7785774085824,-0.021876374047047266,411.14006390202695,-0.020357317158445763,46.00698206250902,0,0,-3.889483450764992,-7.619842529296932,0,-0.97173719421437,-0.6604934422288407,-0.31124375198552934,0,1,-0.3401486189388335,0,0,0.021331410520057596,0.72,0.09254244616572627,0,0.1067859872118686,0,0.02312930556979497
2018-03-16,397.58001708984375,401.8427177980415,391.3957822773599,401.5334854163696,30814962.0,-0.012886594227798032,-0.012970346683843219,-0.014291816911120914,-0.05098067039672627,14732706.2,11029430.238497445,1.4581220835747275,0.96,0.1645667238503695,0.01525030330966028,0.012403653847241233,0.013823211575061741,0.10323878959751615,11.374572947249476,8.334524065736446,1.3647537467251474,411.17756865387116,-0.033069779580901085,409.53938812089115,-0.029202004441848537,39.24524464329231,0,0,-6.761737419216708,-5.190338134765625,0,-1.7021685251367558,-0.8688284588104237,-0.8333400663263321,0,0,-0.5220963143408027,0,0,0.02627630935056422,0.82,0.5919664000652689,0,0.13356289468928295,0,0.035947434670880005
2018-03-19,395.5702209472656,400.60592993098777,394.0241471814289,397.9997317367609,12630833.0,-0.005055073334140792,-0.0050678934399803486,-0.03740702622109904,-0.030948824302481026,14882839.75,10976599.497721378,-0.2051643362288559,0.54,0.1660117911198444,0.015113157292402061,0.012606160603398728,0.013744409908375171,0.09958574384536499,6.581782749558897,8.468619902913806,0.7771966181310251,410.94169181916664,-0.03740547911752834,408.99298498848765,-0.0328190568881445,36.42363169981345,0,0,-2.8216129434788613,-2.009796142578125,0,-2.4153714707073846,-1.1781370611898159,-1.2372344095175687,0,0,-0.4038943431912366,0,0,0.016638721524034266,0.44,0.23490197480393377,0,0.04879560352840406,0,0.008513173005395364
2018-03-20,393.05224609375,399.3248244347961,391.8374909798561,394.5983195021315,15192983.0,-0.006365430763432767,-0.006385776503389331,-0.04512509904959838,-0.023110266532880508,15195393.9,10887164.378591383,-0.00022144425455182686,0.76,0.1589588774423802,0.014419469200976125,0.012625320111296433,0.013621584577990491,0.05857501818839955,7.4873334549399715,8.452844277971861,0.8857768116663652,410.62954015361174,-0.04280572228983691,408.3024995567674,-0.037350379876525196,30.163378204692137,0,0,-6.260253495121312,-2.517974853515625,0,-3.1474871973385348,-1.5720070884195598,-1.575480108918975,0,0,-0.33824569940140625,0,0,0.019049206636857788,0.6,0.162241353486157,0,0.0915655520501889,0,0.02154450327512883
2018-03-21,396.1885070800781,398.59593121612056,394.59829143106185,395.2829549173959,14715126.0,0.00797924707846609,0.007947581221429198,-0.03460533597428739,0.008035912008033108,15508227.7,10772683.68151714,-0.07362155275762307,0.7,0.1575846807903342,0.01462808725168446,0.012510097727163426,0.013524552079384489,0.08159494556475155,5.543685122370562,8.410245882959218,0.6591585072374613,410.3700165467015,-0.03455785972359145,407.75483990312625,-0.028365899533571874,31.52828849853873,0,0,1.3649102938465916,3.136260986328125,0,-3.435027278298719,-1.9446111263953918,-1.4904161519033272,0,0,0.08506395701564773,0,0,0.010090246722479032,0.1,0.39778862882092564,0,0.06712926183899026,0,0.03432319874753594
2018-03-22,401.1580505371094,402.836639617899,395.68059433291023,395.7910239451711,22129723.0,0.012543381163822698,0.012465364674609873,-0.00400303713166994,-0.0036205802312195834,16018844.35,10835368.63991332,0.5639751496308006,0.86,0.145966326472585,0.015283596026287379,0.01261974091186033,0.01346756277014416,0.13484497175124796,7.15604528498875,8.481238428213357,0.8437500424867173,410.0891185634605,-0.021778358951865896,407.1309277650365,-0.014670654623810698,37.51161263558078,0,0,5.983324137042054,4.96954345703125,0,-3.224731541415565,-2.200635209399427,-1.0240963320161383,0,0,0.46631981988718896,0,0,0.017838468592091577,0.52,0.7654306233812945,0,0.07031413866926584,0,0.018103584593733867
2018-03-23,394.8633728027344,397.5579142282104,392.7430653422368,393.4056429941349,23469999.0,-0.01569126613798999,-0.015815677215546324,-0.006832949771958696,-0.021027111415975908,16632498.9,10895282.066862883,0.6275652211699687,0.9,0.10476733764378264,0.01435429805539419,0.01179423474465795,0.013394391841236608,0.0716647798474575,8.4149851948726,8.181493451107855,1.0285390123614397,409.6734897290974,-0.03615102587214099,406.22767577306627,-0.027975206141918393,40.006611437915,0,0,2.494998802334216,-6.294677734375,1,-3.525360381170401,-2.465580243753622,-1.0597801374167792,0,0,-0.03568380540064098,0,0,0.012193708552367614,0.16,0.44036843320960856,0,0.08420592353395417,0,0.028817902382964725
2018-03-26,398.0438537597656,399.4573823078872,394.24495708472136,394.8854783339088,13227705.0,0.008054636555566708,0.008022371112360857,0.0062533342539699,-0.03138761060553663,16763350.95,10834700.4324857,-0.3263261381365991,0.52,0.1427913468289701,0.014152881789506635,0.010683861469535774,0.013553813018745147,0.04419927630207742,5.2124252231658375,7.57253627753875,0.6883328163033461,409.48287066869017,-0.02793527575455492,405.7050990595739,-0.018883778679509328,46.63912734317748,0,0,6.63251590526248,3.18048095703125,0,-3.4670071692359556,-2.6658656288500886,-0.801141540385867,0,0,0.2586385970309122,0,0,0.013095102898633467,0.18,0.728815572726458,0,0.022773563861225976,0,0.0192855822145469
2018-03-27,397.4695739746094,402.3065383113062,396.2327328598373,400.7384083677235,15179544.0,-0.0014427550626189278,-0.0014437968358405752,0.011238525984165859,-0.03439371266363944,17100547.6,10665505.381805273,-0.18011369656023246,0.7,0.2020387247867372,0.012603565951156205,0.010284354930336812,0.013639500629825862,-0.07595106527971311,6.0738054514689,7.286988317648885,0.8335138174881928,409.2957897311675,-0.028894056702359113,405.15725579249687,-0.0189745628591329,54.012003646671346,0,0,7.372876303493868,-0.57427978515625,1,-3.427590280419622,-2.8182105591639957,-0.6093797212556264,0,0,0.1917618191302406,0,0,0.015281183388999777,0.28,0.20363528671622286,0,0.048281519829598274,0,0.05041720994914448
