Date,Close,High,Low,Open,Volume,daily_return,log_return,return_5d,return_10d,volume_ma,volume_std,volume_spike,volume_percentile,volume_price_corr,volatility,parkinson_vol,vol_ma,vol_spike,tr,atr,atr_ratio,vwap,vwap_deviation,vwap_rolling,vwap_rolling_deviation,rsi,rsi_overbought,rsi_oversold,rsi_change,price_change,rsi_divergence,macd,macd_signal,macd_histogram,macd_bullish_cross,macd_bearish_cross,macd_hist_change,gap_up,gap_down,intraday_range,range_percentile,close_position,iso_is_anom,iso_score,mtad_is_anom,mtad_score
2018-03-14,119.89289093017578,122.21639648983285,119.32860695667264,121.353378113167,4846612.0,-0.016339753295627202,-0.016474719291425362,0.007369787818753526,-0.030038881522182037,4506943.9,1534693.8216616565,0.2213262966239293,0.3,0.2647668046720946,0.01455916504641004,0.014396839215955968,0.01614244386890768,-0.0980817240111645,2.887789533160202,2.844795703536032,1.015113151554474,128.10813894929316,-0.06412744800160555,122.25242320914919,-0.01930049496783733,38.036804417554436,0,0,-10.129099067594971,-1.9915618896484375,0,-1.7359567619929663,-1.703551160240413,-0.03240560175255336,0,0,0.022745054883560156,0,0,0.024086411719089585,0.7,0.19540342771802333,0,0.06391940283641506,0,0.0117319901692844
2018-03-15,119.69371032714844,120.42394872594323,118.66472744781905,120.22479924515832,5145739.0,-0.0016613212133098632,-0.0016627027377126452,0.013232969076958812,-0.030622180331963067,4516204.5,1538129.8243683008,0.4092856727867851,0.44,0.23448620778742438,0.013539552004955335,0.01433611558848973,0.015905402055496218,-0.1487450548902216,1.759221278124187,2.740946022212316,0.6418299606142649,127.9881562876373,-0.06480635553326768,122.06806301686812,-0.019451055673523156,43.35072338074434,0,0,5.313918963189906,-0.19918060302734375,1,-1.7205898812644875,-1.7069589044452278,-0.013630976819259732,0,0,0.018774624933293627,0,0,0.014697691911305634,0.16,0.5849081588199415,0,0.03998524824351912,0,0.020312514558622534
2018-03-16,117.60257720947266,119.79331317931197,116.9055336037937,119.6937384155524,8194541.0,-0.017470701776728825,-0.01762511560875408,-0.003085670809868435,-0.05458659122039822,4673603.7,1742720.4873774555,2.0203683410519284,0.76,-0.013939755437309699,0.012699511761182721,0.014393358589432506,0.0156417967114744,-0.18810401493258655,2.887779575518266,2.72473189910531,1.0598398966909934,127.77112766771192,-0.07958410200937202,121.67496541453424,-0.03346940096636891,30.12676276295781,0,0,-13.223960617786531,-2.0911331176757812,0,-1.8557564783286864,-1.7367184192219196,-0.11903805910676679,0,0,-0.10540708228750706,0,0,0.02455541063823817,0.7,0.24137701206383874,0,0.1376114960824334,0,0.022275416352738775
2018-03-19,117.40340423583984,118.43237702146708,116.93869508528428,117.96767800059044,5782668.0,-0.0016936106194173073,-0.0016950463992126809,-0.026156443649138827,-0.03507885481109618,4754385.4,1755402.4331647807,0.5857816877615514,0.52,-0.05845513792220822,0.012567272924585444,0.014389848400802017,0.015372792602309285,-0.1824990141871416,1.4936819361827958,2.7166700968677864,0.5498208771669152,127.61585925073186,-0.08002496770207206,121.36883485322483,-0.03267256064662588,28.300776430486593,0,1,-1.825986332471217,-0.1991729736328125,0,-1.9563964542291359,-1.780654026223363,-0.1757424280057729,0,0,-0.0567043688990061,0,0,0.01272264587123527,0.04,0.31111653625004154,0,0.06808439825940293,0,0.017555270981580395
2018-03-20,115.57779693603516,118.00087699689864,115.24586760552349,117.1046637526454,3020586.0,-0.01554986681763848,-0.015672034108245005,-0.05174290680954918,-0.049314545644409735,4692135.9,1795270.7180367387,-0.9310851467727179,0.1,0.05128631810628573,0.012854295932310687,0.013151933517965871,0.015126140083206157,-0.15019324085359695,2.755009391375154,2.527041759290656,1.0902112638844073,127.52621567116705,-0.09369382343978447,121.2119775843686,-0.046482045426289115,27.321521532358048,0,1,-0.9792548981285449,-1.8256072998046875,0,-2.1585828130617415,-1.8562397835910387,-0.3023430294707028,0,0,-0.1266006014649299,0,0,0.023836839465594215,0.66,0.12048210486335462,0,0.1317696034325716,0,0.02153669011185267
2018-03-21,116.54039764404295,117.70215037734796,115.27906002721818,116.63997239788286,4055822.0,0.008328595400901584,0.00829410402769044,-0.02796240260888594,-0.020798691764262522,4628497.8,1794080.546065899,-0.3192029484159873,0.16,0.06357363071931468,0.013296581229778165,0.013155334521914332,0.0148773703808017,-0.10625460039691169,2.423090350129783,2.517451076944689,0.9625173539054651,127.41049453315276,-0.08531555370579023,120.93347025170696,-0.0363263586043143,31.29006132433672,0,0,3.968539791978671,0.9626007080077983,0,-2.215603034151485,-1.9281124337031281,-0.28749060044835684,0,0,0.014852429022345959,0,0,0.020791848999091252,0.42,0.52054914759438,0,0.04518201680659195,0,0.01117721383339923
2018-03-22,118.7643051147461,120.62311130874518,117.2042434086431,117.50297776686035,8348549.0,0.019082717372355118,0.01890292599254411,-0.007764862580181386,0.00536535431036711,4813334.9,1977647.6942750744,1.7875853774328923,0.78,-8.855602608973749e-05,0.014389203584495684,0.013729131209455325,0.014632322127059196,-0.016615170431407356,4.082713664702226,2.67558518628176,1.5259142875021021,127.22964905958767,-0.06653593723904969,120.62326781513072,-0.015411311051681089,35.813402679695685,0,0,4.523341355358966,2.223907470703139,0,-2.057622234958842,-1.9540143939542711,-0.10360784100457088,0,0,0.18388275944378596,0,0,0.02878699872634377,0.76,0.4563094425497128,0,0.09122376168957336,0,0.015759185424042157
2018-03-23,117.76854705810548,119.19584955579283,116.9387235581761,116.97191852410954,6884971.0,-0.008384320993404026,-0.008419667120173398,0.001411277308465797,-0.001678748238598038,4726124.0,1833741.307122782,1.1772909251781656,0.64,-0.12039424158660236,0.013464668608071793,0.013339371706275941,0.014463534379608196,-0.06906096921121237,2.2571259976167397,2.579201489883773,0.8751258889988184,127.07079664892967,-0.07320525121481039,120.2722868064925,-0.02081726235399929,39.225329359073974,0,0,3.41192667937829,-0.9957580566406108,1,-1.9898331092269927,-1.9611781370088155,-0.028654972218177255,0,0,0.07495286878639362,0,0,0.01916577943756016,0.3,0.36764606868998,0,0.04254522635738189,0,0.02038822614268947
2018-03-26,118.7643051147461,119.12942938798,116.83911913540918,119.12942938798,4169998.0,0.008455212206611717,0.008419667120173509,0.01159166454979843,-0.014867975819936818,4690608.8,1837472.737085115,-0.28332980919535894,0.22,-0.1278065009738197,0.013764813329445357,0.013540463354703224,0.014265722333106468,-0.035112765890997676,2.290310252570819,2.6303837849074125,0.8707133403275306,126.98005086089613,-0.06470107462065441,119.98995672719688,-0.010214618338659416,42.611914837981665,0,0,3.3865854789076906,0.9957580566406108,0,-1.8346121189161693,-1.9358649333902862,0.10125281447411694,1,0,0.1299077866922942,0,0,0.019284500088967923,0.32,0.8405786841915246,0,0.02903942626132172,0,0.010752212933144512
2018-03-27,119.22901153564452,120.22479946006356,117.6689397355166,119.8596751951742,3823981.0,0.0039128458710673275,0.0039052106002729742,0.03159096899580183,-0.02178654637852051,4745710.1,1791273.2611386387,-0.5145664371800502,0.16,-0.017945032025626795,0.012619654767275819,0.012762653222204606,0.014055984313684478,-0.10218632947846731,2.5558597245469628,2.503814430528093,1.0207864018848658,126.90590019789323,-0.06049276393152023,119.80853114895685,-0.004837047977718547,50.63027896762011,0,0,8.018364129638442,0.4647064208984233,0,-1.655022373627574,-1.8796964214377438,0.22467404781016986,0,0,0.12342123333605293,0,0,0.02143655886773355,0.46,0.6103902278103521,0,0.019686242793181208,0,0.011417559456812396
