Date,Close,High,Low,Open,Volume
,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS
2018-01-01,168.0667724609375,171.41223037486228,167.55544865257022,171.36353074629776,5353190
2018-01-02,167.96937561035156,169.43514974321548,166.54256712531364,169.43514974321548,5762080
2018-01-03,167.05874633789062,169.30366989988323,166.63996223096063,168.19824630123594,4161360
2018-01-04,170.82786560058594,171.2417901543597,166.93213306820277,168.00346545902423,7301470
2018-01-05,176.7201690673828,177.35323453857174,171.32458589502914,171.99660215379492,9843270
2018-01-08,178.8968963623047,179.49587055962706,177.2558214916456,177.2558214916456,8250220
2018-01-09,177.20712280273438,179.49587150928878,176.28188933918415,179.49587150928878,5127210
2018-01-10,175.52223205566406,177.34835669707576,174.723599745854,177.25583185969433,4067910
2018-01-11,173.3941650390625,175.11315618781086,172.68318324986367,175.11315618781086,8184710
2018-01-12,172.39590454101562,174.4216873117043,170.55031188949656,173.6522866486308,6063160
2018-01-15,169.2841796875,174.8112528563695,168.78260474867625,172.48355340323022,8470370
2018-01-16,164.33660888671875,170.029249275936,164.0687832177744,170.029249275936,10765810
2018-01-17,165.68548583984375,166.52794327872562,162.22803539847516,165.09138608443828,11995010
2018-01-18,161.74107360839844,167.24866398281202,161.0885253675699,166.7373401995693,9616920
2018-01-19,165.75369262695312,166.66431778536958,159.00432786632575,161.76056058804426,9745970
2018-01-22,166.18707275390625,168.10086263108525,163.4259806780197,166.93213099703883,9244980
2018-01-23,166.41595458984375,167.3217201579969,164.82845364172607,166.54257065640212,12454930
2018-01-24,169.38156127929688,170.13149389520757,165.28131142642528,167.029519482583,14413130
2018-01-25,166.57179260253906,169.64942505523754,165.8997763224391,169.56177463462654,8808910
2018-01-29,167.05874633789062,169.0017381503979,166.54256297486344,166.63996223096063,6431370
2018-01-30,163.46493530273438,167.41424192892242,162.74423428732655,167.02953417599718,6801040
2018-01-31,163.411376953125,164.5947021623764,160.21200299237228,161.42454500720712,13322250
2018-02-01,168.4368896484375,171.41224853371995,160.1876739988689,163.79608353943303,19398120
2018-02-02,158.64398193359375,166.83476389708073,157.796664786006,166.3526568466932,16450450
2018-02-05,156.31138610839844,158.55143518165025,150.61874602360152,155.82929398566296,14721640
2018-02-06,161.88229370117188,163.985992855455,147.18077172741502,149.011770790703,21094160
2018-02-07,159.8857421875,164.30253295284666,157.8356168991415,163.62078266395517,14669830
2018-02-08,161.88229370117188,163.52336866838797,159.535111261283,161.08853581233075,7507460
2018-02-09,159.66659545898438,161.18592872356703,157.5141967601324,158.6585711296225,7037200
2018-02-12,160.0951385498047,161.28333820096444,159.26728941445805,160.2120057741677,4721150
2018-02-14,162.64198303222656,165.27161477211567,160.84994936704658,161.0885582646643,10660360
2018-02-15,163.3334503173828,166.72273330276036,156.0045949130647,163.50389158000223,11771160
2018-02-16,163.1581268310547,165.95332476563496,162.79777636123612,164.59468401166671,9476850
2018-02-19,159.9879913330078,163.13379102268252,158.12290116122313,163.13379102268252,6953100
2018-02-20,159.60330200195312,161.44890956376898,158.36154312530175,161.1713350371157,5839550
2018-02-21,155.4835662841797,161.47812380285137,154.59240910457797,161.47812380285137,16897440
2018-02-22,155.86338806152344,157.53367977033682,153.53568853447445,154.6605800821275,10506250
2018-02-23,159.08221435546875,159.53023007911915,156.0581565192032,156.49154898110046,7114740
2018-02-26,163.12893676757812,163.60129496456736,159.3841624203536,159.72504498516528,10366590
2018-02-27,161.36122131347656,163.61587871209196,160.7963532196607,163.23118585556688,6052440
2018-02-28,159.74937438964844,161.63394746396867,158.65369962741207,160.1145993103939,17563490
2018-03-01,161.60958862304688,162.25726246495407,158.556313665747,159.23806387219673,12383900
2018-03-05,159.427978515625,161.67288707331414,157.87455410456155,161.67288707331414,7437790
2018-03-06,159.50588989257812,162.82700537987586,158.51734837574176,161.18593045960935,9441760
2018-03-07,157.61647033691406,160.56748645150734,156.41366235970236,159.82242822180388,6445770
2018-03-08,158.5611572265625,159.52048183988836,155.26439932382218,159.2331733840547,6631960
2018-03-09,161.10801696777344,162.3741330120189,157.43142533761937,159.23806713701225,8397180
2018-03-12,162.18421936035156,163.80582645228353,161.1908182013559,161.96509330809127,4861870
2018-03-13,163.68894958496094,165.45662574659553,162.02351738065224,162.2085670545799,8208020
2018-03-14,166.55230712890625,167.60415674263402,162.47639916386174,162.84162410497385,8486590
2018-03-15,168.1251983642578,169.45462237182628,166.93212439379587,167.03925762731097,7391870
2018-03-16,164.3901824951172,167.96939006890062,163.72304061381476,166.7373651338205,10176990
2018-03-19,158.9312744140625,165.4614977918305,158.4589162546239,165.4614977918305,8489840
2018-03-20,161.409912109375,161.97479503333116,157.30966249697207,158.45889630495864,13187580
2018-03-21,166.01177978515625,166.7373552391293,162.20857195642694,163.0851058624207,11310980
2018-03-22,165.1400909423828,167.51649003931146,164.6092991962225,166.34777331357066,11537160
2018-03-23,164.13693237304688,165.08164860112223,161.18591648074178,161.18591648074178,10884260
2018-03-26,169.62022399902344,170.243540705206,164.2051573276171,165.46152472282913,12889840
2018-03-27,172.624755859375,175.1131624890367,170.41879813176084,170.4382809535321,16702390
2018-03-28,172.14755249023438,174.62621048448202,171.49014466542857,173.0679115561305,9869600
2018-04-02,177.11947631835938,177.7427929155119,172.28876154464734,172.28876154464734,6332030
2018-04-03,178.6436767578125,179.20368530217394,175.46378587121276,177.25581915758508,10494570
2018-04-04,180.19712829589844,182.08656111805772,178.88231250615706,179.20371225167253,17934410
2018-04-05,186.56661987304688,187.1996852965772,181.73592008098785,181.73592008098785,13859590
2018-04-06,188.7092742919922,189.2839061220388,185.90921659705694,186.8977581105664,16120010
2018-04-09,189.35696411132812,191.6456981993424,187.99344872385467,189.1962568122236,11317920
2018-04-10,187.58436584472656,190.15554843252514,186.37669840655727,189.9169395972814,10138110
2018-04-11,187.44805908203125,190.4039500575024,184.20973400338954,187.5795495816289,11889760
2018-04-12,187.90577697753906,189.14755057489987,186.12347765245048,187.360376828864,5353540
2018-04-13,186.44488525390625,189.80495156019626,185.78747742286166,188.0664922278856,5928860
2018-04-16,189.264404296875,189.91693763259573,184.80866373231794,186.40591328001722,7727230
2018-04-17,188.46092224121094,190.8811464988752,186.80036458432699,190.8811464988752,6962030
2018-04-18,187.6623077392578,189.97052456286875,187.1217819711122,189.52739805471506,4629050
2018-04-19,186.3426513671875,188.50478438106524,185.84107633556067,188.45608474613172,6325890
2018-04-20,183.13839721679688,185.80697960511742,180.19225515355103,185.80697960511742,12261960
2018-04-23,184.98397827148438,186.9708100886752,181.22947038686053,183.09942012824985,7621250
2018-04-24,186.78086853027344,188.28559322372485,184.91091896381815,185.82641835658063,7848950
2018-04-25,185.03268432617188,188.84076639055058,183.94188398772602,187.57465036283162,6776750
2018-04-26,184.2778778076172,186.50817793968372,182.76827861709864,185.9238121688253,10983390
2018-04-27,185.1593017578125,186.55201899588428,184.31684425312758,186.21601087824374,6415910
2018-04-30,185.79725646972656,187.47242290456504,184.54087421307642,187.47242290456504,6472100
2018-05-02,185.5439910888672,188.6264976984304,185.04729055367116,185.9238244066147,6870830
2018-05-03,182.54428100585938,185.70470414562797,181.404781017201,185.53913729541677,4717500
2018-05-04,180.8983154296875,184.38985680943256,180.33829208238933,183.0993985947357,5621770
2018-05-07,184.60415649414062,185.24208151629824,180.76685751866273,181.63853184598545,4855190
2018-05-08,181.96966552734375,184.9012138094058,181.15156525092476,184.9012138094058,6697570
2018-05-09,180.0899658203125,182.62218286150377,179.69064969877695,182.62218286150377,6455530
2018-05-10,178.9504852294922,181.29279330429807,177.06105251012198,180.37241932934103,5887920
2018-05-11,181.29763793945312,183.17246210143514,178.04470500020886,179.690654292634,4832490
2018-05-14,181.58981323242188,183.48412013787396,179.49098870974169,181.45346320059016,6429710
2018-05-15,185.2372283935547,188.30998638906692,180.61590534669764,181.66288054349903,15703020
2018-05-16,186.99026489257812,187.87167308431194,182.40790826306295,184.31682351574207,9528360
2018-05-17,201.26327514648438,203.33775746661254,185.64139429749767,187.96909388117004,55812030
2018-05-18,209.3615264892578,211.51392519160035,201.1804943462194,201.59441888832833,83167340
2018-05-21,205.0567169189453,209.29819087392673,202.6316184555344,206.96075767286015,23768230
2018-05-22,209.3274383544922,212.11288767221617,205.4998883260782,205.5972875824971,19633730
2018-05-23,202.42225646972656,209.2008375363612,201.23405687223877,209.2008375363612,14438270
2018-05-24,204.01463317871094,205.48039232484592,201.40935927750567,204.0876751858208,8409320
2018-05-25,206.08424377441406,209.58065993276318,204.86682743562628,205.2076950938633,13421450
2018-05-28,204.03411865234375,208.2269085527901,203.18680157506512,206.9607924970705,8061900
2018-05-29,202.29563903808594,205.20768932757323,201.1220479371474,205.01290569104842,7272590
2018-05-30,206.3423614501953,207.4477702751609,200.2650129710327,200.95163765597258,12515080
2018-05-31,205.49017333984375,208.90867355716796,204.62337337733493,208.66519025465377,13233970
2018-06-01,202.3248748779297,206.47382468434822,201.19510887432793,206.47382468434822,6045740
2018-06-04,200.90780639648438,204.40422289023215,200.17248210178695,203.57151419571355,5131520
2018-06-05,204.5843963623047,206.43000385393225,200.1432635489128,201.1171967048686,8168790
2018-06-06,210.43284606933594,211.6259051346725,205.20768992490068,206.66858949464753,18029770
2018-06-07,211.2899169921875,213.99257531686496,210.38415150939963,211.53825981951638,14894130
2018-06-08,212.9845428466797,216.2082588066729,209.10829353819878,210.84676756796,30395950
2018-06-11,219.16415405273438,219.96278629067749,213.89517266154093,215.23920503220666,20595810
2018-06-12,220.23062133789062,221.76456299191673,217.77144621485186,219.62191315287708,16551670
2018-06-13,217.28936767578125,221.23867462495906,216.7683246955814,221.08284174254342,10953720
2018-06-14,218.47752380371094,219.32971520426338,213.97308354364796,217.67403202682635,13213410
2018-06-15,222.40737915039062,223.18165423671005,217.29423001122996,219.13496310688615,16375000
2018-06-18,218.4678192138672,223.61505953231148,217.59614487437352,221.27761103114463,11268770
2018-06-19,221.14126586914062,222.15416470033787,216.8997910237348,217.67406611989676,11515820
2018-06-20,220.86856079101562,224.20915925687763,220.22090177860517,221.5649194336243,11272730
2018-06-21,219.8605194091797,222.83589271012536,219.14467799761672,221.76456037273883,7170230
2018-06-22,227.51564025878906,228.0951316487802,219.18850918662613,220.79063331548642,17142240
2018-06-25,232.82846069335938,233.64656098758027,227.31599539750948,228.0951449038802,23935350
2018-06-26,230.56407165527344,235.60903838766797,228.34350519670832,232.2830631212469,23379420
2018-06-27,227.4620819091797,231.77659847397848,226.2008403089747,231.77659847397848,10691260
2018-06-28,221.54055786132812,228.67948908769597,219.50504130028858,227.60815676028602,17130030
2018-06-29,223.64910888671875,225.95246588243393,221.14123427424002,222.26126618984955,13784210
2018-07-02,223.96078491210938,225.43629294518234,222.1638771768471,224.00461011772072,8403760
2018-07-03,226.05963134765625,227.3159986129068,222.61677398447625,224.49159833103255,8106670
2018-07-04,227.06275939941406,228.3873089927046,224.64253508281098,227.21859226004577,9163790
2018-07-05,227.33108520507812,229.17009920832714,226.5749956658786,228.1944921195108,6887850
2018-07-06,228.84814453125,229.75545190915372,226.73106420964473,228.17497330940833,6906170
2018-07-09,229.07737731933594,230.5554361046687,227.99933583338148,230.14566809519053,5516950
2018-07-10,230.86276245117188,232.38958982350897,229.26765032827015,230.24325735094362,7841340
2018-07-11,229.81398010253906,232.38958195977915,228.7798390753521,230.81885411096272,5948050
2018-07-12,235.60910034179688,236.97494424421794,230.2774114368626,231.70667217878574,13961500
2018-07-13,240.8383331298828,241.46272098464252,236.31151746122993,237.4480930119308,13904850
2018-07-16,241.19932556152344,243.84322720350835,239.99933306444422,241.4627436319103,11726440
2018-07-17,240.8919677734375,243.14563218544978,237.61881083824156,241.4627043520009,9446860
2018-07-18,242.80418395996094,246.1505087118714,241.10662247787738,241.77492575513202,14054780
2018-07-19,245.8724822998047,247.51149492752157,229.99935211298987,244.2822381132177,48898170
2018-07-20,265.4967956542969,267.80409646620285,242.61880173362135,245.95050766366566,73612740
2018-07-23,268.8577575683594,272.8772833222616,265.0724275078033,265.3650976915807,35518880
