Date,Close,High,Low,Open,Volume,ret,vol_z,ret_z,label
2018-01-01,4106.4296875,4167.938575927434,4093.886698487347,4150.957675387617,166780,,-0.8309062438191276,,0
2018-01-02,4102.8115234375,4149.7996784828065,4094.610338302158,4134.362153522164,141217,-0.0008810972883607215,-0.9153917091832104,-0.09283999987653711,0
2018-01-03,4150.71728515625,4162.343484979218,4096.154989488159,4106.382446006387,166916,0.011676325233339613,-0.830456765147238,0.6460387519762416,0
2018-01-04,4192.7353515625,4197.077155516483,4144.010662745584,4150.861158762822,149645,0.010123085606556392,-0.8875372514869897,0.5546461310158007,0
2018-01-05,4241.267578125,4256.898263367974,4197.125897356848,4206.533140799242,165179,0.011575313606286608,-0.8361975331845345,0.6400952277545658,0
2018-01-08,4269.72998046875,4277.545322103001,4217.53222341839,4245.319581322505,176265,0.006710824492788259,-0.7995584114450586,0.3538686841806853,0
2018-01-09,4271.2255859375,4320.577329680641,4231.135980345189,4277.062711659208,137512,0.00035028104249956726,-0.9276366980019691,-0.02038569784183806,0
2018-01-10,4248.40771484375,4272.335693788054,4222.742731403135,4272.335693788054,108721,-0.005342230382041846,-1.0227906718429622,-0.3553330749014514,0
2018-01-11,4251.2060546875,4279.089996745235,4227.567338809201,4264.47268094573,111608,0.0006586796822660723,-1.0132491650360107,-0.0022395216157859443,0
2018-01-12,4250.6259765625,4280.246915770503,4198.620909024984,4257.669158818435,77493,-0.00013645024906761005,-1.12599890688539,-0.04902496745145461,0
2018-01-15,4361.24609375,4405.33971953593,4248.600386761102,4262.494067104423,318055,0.026024429765744594,-0.3309438460977477,1.490281234861264,0
2018-01-16,4385.318359375,4429.60466333239,4352.417041231194,4368.819410927698,315736,0.00551958433611377,-0.33860811845151323,0.2837761123492029,0
2018-01-17,4384.4990234375,4438.192579575601,4340.791712128867,4382.328121131787,325182,-0.00018683613602388238,-0.30738918069658905,-0.0519896730827982,0
2018-01-18,4253.66552734375,4397.52406897728,4216.374347305296,4394.388321464982,626579,-0.029840010316885657,0.6887249610058122,-1.7967824670949137,0
2018-01-19,4148.83544921875,4228.338620348032,4120.854931072856,4214.444940043604,311100,-0.024644645295010426,-0.3539300531785753,-1.491087184790837,0
2018-01-22,4177.78076171875,4191.529809260203,4110.772057359819,4172.956534511222,179728,0.006976731869529962,-0.7881132302630448,0.3695146744542333,0
2018-01-23,4220.9091796875,4252.121550152692,4149.799888295916,4191.963818922823,250337,0.010323284161758428,-0.5547511747964514,0.5664258141740911,0
2018-01-24,4132.43310546875,4215.361761207923,4124.8109205574065,4211.357275655886,244058,-0.02096137833159928,-0.5755032084787687,-1.2743637535323258,0
2018-01-25,4206.677734375,4236.587940667226,4131.467849784157,4134.362385876953,279951,0.017966323231704884,-0.4568771939924789,1.0161422395476152,0
