Date,Close,High,Low,Open,Volume,ret,vol_z,ret_z,label
2018-01-01,327.138916015625,338.4382963528011,325.658649427319,335.527093349359,72655,,-0.6466965431754502,,0
2018-01-02,322.7968444824219,332.36921813716845,319.78695066436256,330.34619894288454,97284,-0.013272867643162711,-0.619654330759421,-0.6446098473319551,0
2018-01-03,324.1783447265625,330.29679128534445,322.8460989304942,330.29679128534445,64624,0.004279782370102625,-0.6555144410971332,0.11383472536410348,0
2018-01-04,328.02703857421875,330.39545886578213,323.684929687003,324.6717739848292,70436,0.011872149729503123,-0.649132966471206,0.4418985683336914,0
2018-01-05,345.6422119140625,348.1586528023297,327.6816338238378,327.8296845599339,890540,0.05370036999513439,0.2513269211099063,2.2492830158118653,0
2018-01-08,339.6718139648437,349.73760757318564,337.846146019634,349.14549498067197,145863,-0.01727334724586027,-0.5663154360841081,-0.8174693323985526,0
2018-01-09,335.4283752441406,341.39880139461025,332.1718010646833,340.461287252837,90794,-0.012492760795107527,-0.6267802375595359,-0.6109016719519793,0
2018-01-10,341.5468444824219,348.35606465211856,334.7869544850743,337.4020860576846,507594,0.018240762230768093,-0.16914110746895278,0.7170843427630941,0
2018-01-11,344.5566711425781,346.3330088997588,339.62244978834934,341.4481177126334,142530,0.008812339240660494,-0.5699750119492518,0.3096851044414979,0
2018-01-12,344.75408935546875,349.3429096883241,341.4974848395614,345.34620200527917,388733,0.0005729629678508097,-0.2996484122714883,-0.046335793359714376,0
2018-01-15,344.2606811523437,347.3692350450092,342.68172406073705,344.40870179178467,62360,-0.0014311888338945922,-0.65800027360799,-0.1329345722189787,0
2018-01-16,336.3165588378906,345.00080761113725,335.52709536582324,343.47118072436774,111552,-0.023075892047449975,-0.6039883156247463,-1.0681954967820202,0
2018-01-17,332.66522216796875,337.2540421758173,330.5928430984602,334.5402203294866,457739,-0.010856844761193751,-0.22388102788801711,-0.540214246613317,0
2018-01-18,326.79351806640625,336.26723035947526,322.69811981672314,335.97118908498294,353308,-0.017650489772561118,-0.33854444438151443,-0.833765544212322,0
2018-01-19,326.5961303710937,329.60599341421556,320.7737249574255,328.6191491225562,59497,-0.0006040134959850452,-0.6611437976709682,-0.09719258196500594,0
2018-01-22,322.4020690917969,326.4481069330641,321.66193581116016,321.80995644406744,45390,-0.01284173598300542,-0.6766330376138373,-0.6259807817768044,0
2018-01-23,322.4020690917969,327.5830020562539,320.72442160924686,322.6981103576114,42940,0.0,-0.6793230948804446,-0.07109334580870959,0
2018-01-24,321.9579467773437,324.32636702926794,320.7243914257064,323.29019258033156,41339,-0.001377541762384693,-0.6810809649554806,-0.13061649886840368,0
2018-01-25,319.9843139648437,322.59944574272373,317.76391394504145,322.15538380842486,86812,-0.006130095039601269,-0.6311524041046911,-0.33597285456567205,0
2018-01-29,320.2309875488281,325.6586314055879,318.25729887364275,323.68494273040255,112448,0.0007708927382343855,-0.6030045232529584,-0.03778330926136179,0
2018-01-30,310.9053039550781,321.71126175684776,309.3263770700103,321.71126175684776,85448,-0.029121740107453054,-0.6326500523135289,-1.3294347196337777,0
