Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2018-01-01,1103.47314453125,1123.9943203803548,1099.0518704681583,1118.7806018297467,1351760
2018-01-02,1097.466796875,1113.4834001525153,1092.8787248965673,1109.4792238755283,1920290
2018-01-03,1100.5745849609375,1113.2335383529285,1097.4672280843458,1097.8009265436149,1257120
2018-01-04,1108.27001953125,1110.3137569391854,1101.137610187622,1105.3085859837872,913082
2018-01-05,1121.65869140625,1125.9548164619346,1105.3084880993247,1105.3084880993247,1153706
2018-01-08,1132.169677734375,1137.3626242867647,1118.5932324023722,1126.1635130635566,1242220
2018-01-09,1129.9171142578125,1134.9222841991539,1116.3823209075238,1132.4196992284833,2149396
2018-01-10,1170.6259765625,1174.5466526395562,1123.9318262902552,1130.7514116853115,3365850
2018-01-11,1163.9107666015625,1177.0075895394332,1160.448836411857,1172.0441691992082,2520744
2018-01-12,1158.0087890625,1169.958592780645,1143.0766768527205,1169.958592780645,3360314
2018-01-15,1145.3914794921875,1171.2097738749892,1140.7825317752017,1158.342275335104,1457214
2018-01-16,1189.082763671875,1193.5873364010713,1147.2478529710208,1149.5210145822389,4267752
2018-01-17,1204.973876953125,1220.010263126293,1193.795642894117,1197.0698992042603,4280806
2018-01-18,1217.173828125,1223.3468911055993,1196.2564305384076,1208.3313820432736,2209478
2018-01-19,1234.3167724609375,1243.7848662679799,1211.1052332245652,1222.325218166771,1820000
2018-01-22,1302.9244384765625,1310.5754401421532,1221.64848175142,1237.953851631059,4367110
2018-01-23,1296.904541015625,1313.7743749552815,1291.9084269151351,1302.3187416863973,3239610
2018-01-24,1327.25732421875,1362.5647055501936,1288.814192347759,1291.8871686748193,5621538
2018-01-25,1304.86865234375,1329.431229721828,1288.124270669935,1327.42439447486,3833844
2018-01-29,1337.39599609375,1348.3289168699996,1305.2660088273299,1309.1959809655723,3141060
2018-01-30,1318.1636962890625,1339.4651771340896,1314.3381446333094,1329.5147007830371,1574758
2018-01-31,1301.2313232421875,1316.9722362852253,1295.4826349091966,1311.5371127703975,3043214
2018-02-01,1312.206787109375,1333.696399870999,1291.3860517377543,1306.1026812529783,2400630
2018-02-02,1318.4981689453125,1333.6956508107314,1297.510251531883,1304.4296020468596,2456490
2018-02-05,1297.40625,1332.8600122715438,1286.3897298995641,1300.2492591482126,2757742
2018-02-06,1253.1097412109375,1286.5148111746562,1247.9881816714148,1258.440343996971,2657306
2018-02-07,1235.4666748046875,1267.2203277294852,1232.2891762092638,1265.5479815365068,2180324
2018-02-08,1243.472900390625,1265.7987816764635,1237.1180057366728,1245.7933009779827,2755004
