Stock,MTAD_Anomaly,MTAD_Max,MTAD_Std,Price_Anomaly_Rate
ADANIENT,0.06490101714100381,0.9999999991544344,0.07690695474073518,0.0
ADANIPORTS,0.0658853284239692,0.9999999990629372,0.0762892662392592,0.0
AXISBANK,0.026374796159393348,0.999999999646194,0.04031663111654166,0.0
BAJAJFINSV,0.027386738791166033,0.9999999995828824,0.03642280384372984,0.0
BAJFINANCE,0.06672222851114033,0.9999999991333745,0.06900290170901806,0.0
BEL,0.045233478394457745,0.9999999993464748,0.0512506279645508,0.0
BHARTIARTL,0.09825401240078101,0.9999999987444712,0.08506368182539276,0.0
CIPLA,0.042941517247000925,0.99999999941798,0.04945515073413774,0.0
COALINDIA,0.04094163432665947,0.9999999993602235,0.04562832455235907,0.0
DRREDDY,0.051604400703163494,0.999999999301002,0.051881395646977704,0.0
EICHERMOT,0.02723856612517201,0.9999999996391944,0.03314040287759871,0.0
GRASIM,0.05049483141685268,0.9999999993112012,0.05168547289034279,0.0
HCLTECH,0.02923627391927078,0.999999999620334,0.03401024079833023,0.0
HDFCBANK,0.0734830606528609,0.9999999990081264,0.08172803202037934,0.0
HINDALCO,0.05044198576479656,0.9999999993038212,0.051206027737078406,0.0
HINDUNILVR,0.07421190826140882,0.9999999988624652,0.07461990771667984,0.0
ICICIBANK,0.06750433708793714,0.9999999990154848,0.06657085602899245,0.0
INDIGO,0.08955021545307469,0.9999999987013491,0.08496245169430279,0.0
INFY,0.05175105383757223,0.9999999993052536,0.06144687611072491,0.0
ITC,0.04394007173986164,0.9999999993445188,0.04905790361423406,0.0
JIOFIN,0.1406924307065102,0.9999999975424382,0.12010207522841888,0.0
JSWSTEEL,0.04529154410259797,0.9999999993660454,0.048582076569438803,0.0
KOTAKBANK,0.05982575977127416,0.9999999992010116,0.06813821711116458,0.0
LT,0.05061374719041103,0.9999999993534266,0.05499675084066808,0.0
MARUTI,0.037921258567061474,0.999999999448632,0.04474000152673406,0.0
MAXHEALTH,0.05526841390652657,0.9999999992312646,0.04677252256797909,0.0
NESTLEIND,0.09993865608944066,0.999999998612778,0.08240487462748994,0.0
NTPC,0.043718467406526594,0.9999999993934872,0.04711181785910074,0.0
ONGC,0.023512485541645124,0.999999999645661,0.03282282410944323,0.0
POWERGRID,0.04267245720970404,0.9999999993190422,0.04126293113020491,0.0
RELIANCE,0.04090538469744562,0.9999999994063092,0.0474662763120765,0.0
SBILIFE,0.05594481626204807,0.9999999991854848,0.062393982840520806,0.0
SBIN,0.025285575722922005,0.9999999996256368,0.03310197984759666,0.0
SHRIRAMFIN,0.06913556760451996,0.9999999989801308,0.07821021141081097,0.0
summary,0.07272727272727272,0.1,0.025184310025465735,0.0
SUNPHARMA,0.03348281786208421,0.9999999995483276,0.04259971983156079,0.0
TATACONSUM,0.04388653041547839,0.9999999993524494,0.04736294956139674,0.0
TATAMOTORS,0.025232391236894757,0.9999999996290008,0.03672522518800056,0.0
TATASTEEL,0.04235725258138796,0.9999999993444488,0.04408200958121971,0.0
TCS,0.03385759303737308,0.9999999995226092,0.03855552813878275,0.0
TECHM,0.031427755845596136,0.9999999996010852,0.0401975943539873,0.0
TITAN,0.06275945120110686,0.9999999991518668,0.07065359877987921,0.0
TRENT,0.05643728231899847,0.9999999991593788,0.05825929729693116,0.0
ULTRACEMCO,0.042704690600540204,0.9999999993823654,0.04856377490241661,0.0
WIPRO,0.04622554878847674,0.9999999993857044,0.0488355786340293,0.0
