Date,Close,High,Low,Open,Volume
,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS
2018-01-01,576.7306518554688,582.7195734563584,572.4865178679796,573.4296587540883,873546
2018-01-02,573.240966796875,583.8041552711109,571.07175446956,579.2770909435086,1038258
2018-01-03,572.2978515625,578.9941860813026,570.1757846674444,576.259054612887,771828
2018-01-04,581.68212890625,583.238334360517,569.1383669056968,574.7972120997584,990602
2018-01-05,580.173095703125,584.6058114843486,576.3533293484049,581.9178831859685,1072254
2018-01-08,580.0787963867188,591.8209120511217,577.3908678598774,583.3326439898307,1061612
2018-01-09,580.597412109375,583.4740373963255,575.9289115336189,581.9178321612454,846158
2018-01-10,584.511474609375,588.6613168983317,578.0037804664071,580.9746968283582,1207313
2018-01-11,577.5322875976562,583.8041973968832,574.4670797761056,583.8041973968832,1092456
2018-01-12,577.2965087890625,583.2383423762892,568.808240881311,579.088499484377,891848
2018-01-15,575.5517578125,580.5032477404241,573.6183304012139,577.6738249244675,470386
2018-01-16,567.204833984375,578.6168133073279,564.9412733025092,575.4573150217656,1088762
2018-01-17,572.6278686523438,575.8816578429346,563.1021135488518,566.8746761487131,883340
2018-01-18,569.3270263671875,578.098225209698,564.2340424897287,573.5239573134289,1028921
2018-01-19,568.4782104492188,570.6945686668763,566.0260669928846,569.3270603343567,818518
2018-01-22,566.9691162109375,570.6001852731408,559.3767867022004,570.0343238177767,933769
2018-01-23,586.963623046875,589.4629690615934,566.1673810113306,568.242302175376,2105060
2018-01-24,583.1439208984375,588.2840495578233,578.0509953288873,586.5864077013066,1089562
2018-01-25,586.0676879882812,595.1218162073773,578.8054926642441,583.0024805355491,2973765
2018-01-29,580.0315551757812,592.6696641193295,576.3532832634037,589.4158170529558,1564268
2018-01-30,571.4962158203125,578.2396384327088,568.9025784544486,578.1453473725774,596682
2018-01-31,558.4808349609375,573.9011636620309,556.4530592614597,573.4295932728262,1264055
2018-02-01,553.6707763671875,563.0550385221725,547.2102851319848,558.2450436310465,1050098
2018-02-02,548.1063232421875,560.1313689752301,542.4002750974547,552.6805332990532,998752
2018-02-05,547.115966796875,549.0022484373603,538.7220480355636,543.249112459779,797017
2018-02-06,532.167236328125,539.4765780765397,526.3197514164432,529.1020284981447,1284112
2018-02-07,536.8829345703125,546.9274077554988,522.6886761398576,545.6069875255613,3161498
2018-02-08,577.815185546875,582.0593187899084,547.1631121249673,550.7941808736659,8349913
2018-02-09,586.0676879882812,590.4061124339432,561.1687490386521,561.1687490386521,2373799
2018-02-12,586.303466796875,598.894372709034,583.6626266606945,593.5656044771431,1957424
2018-02-14,581.1162719726562,594.4616807878538,576.7306438869452,586.7279141156674,1306512
2018-02-15,571.40185546875,586.1148871265503,568.6667815688198,578.3811207177416,1391858
2018-02-16,576.3533325195312,579.0413183974476,571.0717669493666,576.5419721966258,906025
2018-02-19,566.2617797851562,577.3436845851584,560.5557316873992,577.2021904341527,1216005
2018-02-20,569.1383666992188,571.6376554535059,558.3393922781855,569.1383666992188,1599249
2018-02-21,563.290771484375,573.1937486306051,555.7456460396282,572.4863931201602,1409752
2018-02-22,556.123046875,563.2908945881026,553.2464211187306,561.1688275930029,1859008
2018-02-23,561.7818603515625,570.6002041165555,556.4530916177979,558.1507336046992,1576584
2018-02-26,556.54736328125,564.2811293573557,555.2741462266288,562.3477022295158,1417465
2018-02-27,553.1519775390625,564.8469443356036,549.945276382507,558.056320310668,1349590
2018-02-28,556.123046875,562.6778299858399,553.717991562086,556.4531231594483,2255189
2018-03-01,548.6250610351562,560.1313912762669,547.3989894049419,560.1313912762669,1343806
2018-03-05,546.3143920898438,551.7374525206018,545.1826114435172,549.0023207557089,1179725
2018-03-06,550.8884887695312,555.8871807937888,547.0687802469183,548.5306368957279,1891302
2018-03-07,547.2103271484375,555.6042460896915,545.3240454675155,554.0480982417799,1849650
2018-03-08,545.135498046875,550.7943440473616,541.3629340465505,550.7943440473616,1084582
2018-03-09,538.5806274414062,551.9260948963498,535.7512045942597,546.9746049138432,1149194
2018-03-12,547.6347045898438,549.0965612529462,531.5069630764975,542.3530818020384,919792
2018-03-13,545.8427124023438,549.7567695646899,542.4474287074663,546.0784975912865,801792
2018-03-14,545.0410766601562,550.6055726913772,539.1464468189828,545.4654439569251,811747
2018-03-15,538.6748657226562,546.644359057691,536.6470900717077,545.1353568742478,849222
2018-03-16,527.593017578125,541.3628510421474,525.3766020289111,537.6845786798986,1867538
2018-03-19,527.9231567382812,534.66663768411,523.8205165541588,531.601429538689,1447941
2018-03-20,521.4625854492188,529.9036497857164,493.1683606839817,523.537449213538,9119209
2018-03-21,519.7177124023438,535.1852441338233,515.3321423386932,526.7441226870355,3091963
2018-03-22,510.00347900390625,523.4432378126083,507.5513355103263,520.5195238345126,1506405
2018-03-23,507.78704833984375,509.9562607463259,503.63720564198803,508.3529098146658,1203262
2018-03-26,510.99365234375,513.6344349592597,502.6468796421986,507.5512231079986,1105319
2018-03-27,514.0588989257812,517.7843167248202,510.2391900694494,510.2391900694494,2206872
2018-03-28,514.4361572265625,517.5956558582691,503.6371836301577,513.0685915633068,2667979
2018-04-02,543.4849243164062,546.0314161688865,514.8606220442534,516.841194837988,2823880
2018-04-03,537.8732299804688,545.465502518057,536.4585186667039,539.4765809823525,2493190
2018-04-04,537.4016723632812,542.7304414648239,532.4030371150102,539.8066701411072,1852997
2018-04-05,528.4889526367188,545.6541276315276,526.6026709354155,541.3628482740127,2396864
2018-04-06,527.1685180664062,538.5333522533759,525.5651673260836,528.4417350151894,2420324
2018-04-09,525.0936279296875,533.72338907064,523.9147019576856,533.72338907064,1470765
2018-04-10,526.4140625,534.7608355850856,524.9521482027764,526.2725683535763,1591682
2018-04-11,529.5735473632812,531.9313993105799,526.7441250265229,528.8190462530946,1789789
2018-04-12,524.52783203125,530.9411786073698,523.2545572835393,530.8940330755476,1309557
2018-04-13,523.9147338867188,529.2435026308177,521.1324569102843,525.8481610856822,1019158
2018-04-16,551.690185546875,554.3781136210665,521.6039730147259,521.6039730147259,6741354
2018-04-17,546.9744262695312,554.8967731152145,542.966078545218,552.2559908333201,2688507
2018-04-18,551.3601684570312,563.0551390956398,548.9080250480106,548.9080250480106,3853951
2018-04-19,551.1715087890625,558.3393558723359,549.8982341650328,551.0300146425882,1525419
2018-04-20,555.55712890625,559.6598263104324,548.4364267104065,549.2380734398006,1641179
2018-04-23,566.0260009765625,567.5350033021936,543.2491265509987,543.2491265509987,3016500
2018-04-24,567.676513671875,570.5059362868242,561.2631096928565,566.82766386149,2782988
2018-04-25,559.3297729492188,566.356185093219,552.8692799586555,566.356185093219,1125208
2018-04-26,565.83740234375,568.6196795504266,556.971854734451,557.3962796583089,1503008
2018-04-27,565.742919921875,572.4863988818819,559.2824292206852,567.7706954314546,1031376
2018-04-30,572.86376953125,574.3727718501128,567.7707859667781,567.9594256478232,687828
2018-05-02,577.2021484375,586.539265041063,574.3255806159156,575.3158669066585,1862999
2018-05-03,574.6556396484375,578.2395629367581,563.0550200941202,578.1452718889375,999887
2018-05-04,563.0550537109375,577.6265904832401,561.640342520709,577.2964566666727,925559
2018-05-07,557.4432983398438,565.9787101483877,551.737308626822,564.5639991006266,1046885
2018-05-08,557.0661010742188,567.7235799226451,553.1991895016001,558.7165973691219,1039491
2018-05-09,554.5667114257812,562.111836751302,552.2560052818928,557.7734127150227,652527
2018-05-10,542.7774658203125,560.7914299311118,539.9480437569573,560.2255685443364,2163326
2018-05-11,541.0799560546875,547.7290880122254,532.9689096227575,544.2394551034155,921890
2018-05-14,545.6068725585938,547.4931538811818,538.3918234737994,542.3058802440647,888370
2018-05-15,543.0604248046875,559.2824569926331,540.5139333020593,546.8329877523613,2049528
2018-05-16,528.0645141601562,542.3059160603667,514.9548350764526,542.3059160603667,4071898
