Timestamp,Close,Anomaly_Score,Anomaly_Label
0,1189.451416015625,0.5745071229516849,0
1,1187.8692626953125,0.4792603548243223,0
2,1194.7906494140625,0.5971532807151039,0
3,1199.9814453125,0.7284544784612038,0
4,1185.100830078125,0.4648769937914996,0
5,1211.4012451171875,0.4648794564576229,0
6,1213.2799072265625,0.7368819223261087,0
7,1225.1942138671875,0.6151152093729363,0
8,1221.733642578125,0.42957884210975716,0
9,1220.102294921875,0.5813840065378947,0
10,1210.01708984375,0.43048734607813066,0
11,1168.589111328125,0.4301405369644615,0
12,1187.078369140625,0.5362943407349051,0
13,1177.8831787109375,0.21300796330133032,0
14,1196.9658203125,0.24126232512304507,0
15,1184.656005859375,0.4156568706138541,0
16,1178.674072265625,0.3480753319498364,0
17,1223.760498046875,0.547137099889291,0
18,1224.106689453125,0.3637963886718184,0
19,1186.880615234375,0.2881544447997063,0
20,1199.4376220703125,0.7198473153382331,0
21,1201.2666015625,0.46613355492701963,0
22,1203.095947265625,0.5101292307031886,0
23,1164.53515625,0.2862877720679815,0
24,1186.682861328125,0.4183425913212226,0
25,1185.8919677734375,0.5166383884564799,0
26,1198.2510986328125,0.3273509633866546,0
27,1241.7554931640625,0.5563547027518508,0
28,1244.474609375,0.40990419651217924,0
29,1236.7623291015625,0.4562459375310085,0
30,1260.591064453125,0.4097440081655905,0
31,1247.7869873046875,0.7778417276763406,1
32,1250.406982421875,0.4979754162893099,0
33,1268.2042236328125,0.34134336065661497,0
34,1250.9013671875,0.6233817368154784,0
35,1259.6517333984375,0.3168734525043467,0
36,1261.0853271484375,0.5313295392507134,0
37,1270.52783203125,0.2060494814180337,0
38,1322.8814697265625,0.3007720926652354,0
39,1322.386962890625,0.5295291853803685,0
40,1320.65673828125,0.6107699869993115,0
41,1317.1468505859375,0.5257052421784956,0
42,1294.3564453125,0.4826527576417639,0
43,1269.044677734375,0.4548344456616067,0
44,1263.606689453125,0.2782217014448859,0
45,1274.4332275390625,0.3920233687407937,0
46,1275.0760498046875,0.4309041843560319,0
47,1262.3212890625,0.6585683339328373,0
48,1286.9407958984375,0.5515427434352692,0
49,1254.90576171875,0.2355439766955899,0
50,1251.4451904296875,0.5486125954092193,0
51,1249.2205810546875,0.44223765793755254,0
52,1202.1072998046875,0.3984616999541062,0
53,1228.9512939453125,0.5917514433261302,0
54,1252.780029296875,0.6546499283743926,0
55,1244.52392578125,0.6396920178674298,0
56,1233.0546875,0.37411737151660424,0
57,1268.402099609375,0.45361814362231784,0
58,1282.6893310546875,0.5496895147105346,0
59,1275.91650390625,0.6463317690683539,0
60,1313.735595703125,0.4281238643232065,0
61,1352.4447021484375,0.4721511535004274,0
62,1371.774658203125,0.33404975389909575,0
63,1432.5323486328125,0.3205690063878994,0
64,1442.0738525390625,0.6218788733591297,0
65,1476.3336181640625,0.7034360042856235,0
66,1463.134033203125,0.48919848176294994,0
67,1466.198974609375,0.6505299346838036,0
68,1476.580810546875,0.5542454037571451,0
69,1442.9637451171875,0.40323203680923136,0
70,1440.837890625,0.554209340826262,0
71,1472.23046875,0.7307054849698954,0
72,1458.0419921875,0.4946260941335073,0
73,1469.9560546875,0.7346965483721009,0
74,1486.4185791015625,0.10703823438653837,0
75,1469.6595458984375,0.6232853756562836,0
76,1469.412353515625,0.5130570602357257,0
77,1476.580810546875,0.4551488974301199,0
78,1481.72216796875,0.5137641164803254,0
79,1391.9449462890625,0.2018646628098661,0
80,1387.0010986328125,0.4670492168243732,0
81,1327.726318359375,0.5535668857267619,0
