Timestamp,Close,Anomaly_Score,Anomaly_Label
0,1193.54443359375,0.5745071229516849,0
1,1188.306884765625,0.4792603548243223,0
2,1198.7376708984375,0.5971532807151039,0
3,1200.4241943359375,0.7284544784612038,0
4,1204.241455078125,0.4648769937914996,0
5,1214.7611083984375,0.4648794564576229,0
6,1208.4583740234375,0.7368819223261087,0
7,1212.4530029296875,0.6151152093729363,0
8,1223.860107421875,0.42957884210975716,0
9,1219.7322998046875,0.5813840065378947,0
10,1213.6956787109375,0.43048734607813066,0
11,1226.833984375,0.4301405369644615,0
12,1217.2464599609375,0.5362943407349051,0
13,1204.5965576171875,0.21300796330133032,0
14,1209.4788818359375,0.24126232512304507,0
15,1202.95458984375,0.4156568706138541,0
16,1214.7164306640625,0.3480753319498364,0
17,1212.5416259765625,0.547137099889291,0
18,1218.62255859375,0.3637963886718184,0
19,1240.416259765625,0.2881544447997063,0
20,1243.0352783203125,0.7198473153382331,0
21,1215.604736328125,0.46613355492701963,0
22,1217.291015625,0.5101292307031886,0
23,1218.134521484375,0.2862877720679815,0
24,1203.5316162109375,0.4183425913212226,0
25,1176.54443359375,0.5166383884564799,0
26,1165.2705078125,0.3273509633866546,0
27,1180.2730712890625,0.5563547027518508,0
28,1183.3798828125,0.40990419651217924,0
29,1193.5001220703125,0.4562459375310085,0
30,1197.8944091796875,0.4097440081655905,0
31,1205.661865234375,0.7778417276763406,1
32,1200.291259765625,0.4979754162893099,0
33,1185.9097900390625,0.34134336065661497,0
34,1182.270263671875,0.6233817368154784,0
35,1181.2052001953125,0.3168734525043467,0
36,1177.5211181640625,0.5313295392507134,0
37,1174.591552734375,0.2060494814180337,0
38,1183.6021728515625,0.3007720926652354,0
39,1195.186767578125,0.5295291853803685,0
40,1169.7978515625,0.6107699869993115,0
41,1175.568115234375,0.5257052421784956,0
42,1153.81884765625,0.4826527576417639,0
43,1148.0040283203125,0.4548344456616067,0
44,1148.581298828125,0.2782217014448859,0
45,1147.9599609375,0.3920233687407937,0
46,1154.70654296875,0.4309041843560319,0
47,1175.52392578125,0.6585683339328373,0
48,1172.28369140625,0.5515427434352692,0
49,1169.0433349609375,0.2355439766955899,0
50,1153.99658203125,0.5486125954092193,0
51,1153.286376953125,0.44223765793755254,0
52,1162.385498046875,0.3984616999541062,0
53,1165.8031005859375,0.5917514433261302,0
54,1167.8895263671875,0.6546499283743926,0
55,1164.5601806640625,0.6396920178674298,0
56,1155.5057373046875,0.37411737151660424,0
57,1175.6123046875,0.45361814362231784,0
58,1183.1580810546875,0.5496895147105346,0
59,1183.6463623046875,0.6463317690683539,0
60,1199.5810546875,0.4281238643232065,0
61,1197.0067138671875,0.4721511535004274,0
62,1205.04052734375,0.33404975389909575,0
63,1227.0118408203125,0.3205690063878994,0
64,1220.442626953125,0.6218788733591297,0
65,1235.3560791015625,0.7034360042856235,0
66,1235.2674560546875,0.48919848176294994,0
67,1250.9359130859375,0.6505299346838036,0
68,1254.1317138671875,0.5542454037571451,0
69,1252.1785888671875,0.40323203680923136,0
