Stock,Date,Open,High,Low,Close,Volume,Returns,Volume_Ratio,Combined_Suspiciousness,IsoForest_Anomaly,WaveLSTM_Anomaly,Pattern_Anomaly
BAJFINANCE,2020-03-19,274.2777554281752,299.0656004004598,243.39212223589428,268.9978942871094,83247130,-0.10297754300038342,1.7116905814705419,0.46864162880222865,1,0,1
BHARTIARTL,2020-05-19,533.8787676951438,576.8949823228535,532.4448998182067,572.4021606445312,73259076,0.11290753809072474,2.5271053055165003,0.46018047122346495,1,0,1
HDFCBANK,2022-04-04,751.5072706543655,819.0953496497071,743.2074192757403,788.0362548828125,97450970,0.10013288998045677,3.068308526513102,0.453203489075947,1,0,1
HINDUNILVR,2020-05-07,1776.0281596238362,1827.8491159377784,1732.22173319066,1814.233642578125,185669922,-0.009028902864148924,4.378505016315722,0.447044624118768,1,0,1
SHRIRAMFIN,2018-07-04,213.27908673740464,213.27908673740464,182.6040553567776,199.54893493652344,94382685,-0.11700070389369688,4.008621995669367,0.4334933963233626,1,1,1
HINDUNILVR,2025-07-11,2500.0,2530.0,2461.0,2519.60009765625,7242235,0.04617181523894143,2.548243524796786,0.4321844810169463,1,0,1
HDFCBANK,2020-03-12,509.1068713765792,511.4748103132144,475.2216709744296,483.6752014160156,59000770,-0.08304910042700597,1.719508674120253,0.42866850998977696,1,0,1
HINDUNILVR,2024-01-23,2374.462021080028,2403.0408173353767,2291.5834646361577,2301.3681640625,4369332,-0.07400409853015011,1.8812975514678132,0.42491098320900567,1,0,1
BHARTIARTL,2019-11-19,408.08027709162087,426.00368417761325,402.87055143182624,419.9814453125,63965674,0.07368038353663531,1.6686332323167619,0.42455550154195165,1,0,1
HDFCBANK,2024-01-17,764.0965828252033,777.1397839265529,743.8504686909188,748.279296875,170145236,-0.08435815003093883,3.248588278465932,0.42296326273379453,1,0,1
HDFCBANK,2019-09-20,524.7352754208938,572.9938831612448,523.5039587194727,568.1159057617188,46150034,0.08950543441110126,2.5240674991266676,0.4193717272382163,1,0,1
HDFCBANK,2019-09-23,596.5076101596419,607.4711228325581,582.0394779614176,595.4183349609375,41920410,0.04805785038285837,1.7136924008149312,0.41510084116997764,1,0,1
HDFCBANK,2018-05-31,493.0982287037809,507.186749523889,488.40205509707823,502.3614196777344,39639192,0.05114603952603791,3.4336913315371054,0.4090853829087348,1,0,1
SHRIRAMFIN,2023-06-21,331.1158444750273,346.16042035589425,323.2799296970431,334.7346496582031,67327115,0.1120121114450845,3.153274930849085,0.4089871646732478,1,0,1
