Date,Close,High,Low,Open,Volume,ret,vol_z,ret_z,label,Returns,Log_Returns,Volume_MA5,Volume_Ratio,Volatility_20,ATR,ATR_Percent,MA5,MA20,MA_Cross,RSI,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,BB_Position,Price_Gap,Intraday_Range,Volume_Price_Trend,IsoForest_Anomaly,IsoForest_Score,WaveLSTM_Score,WaveLSTM_Anomaly,Suspicious_Volume_Spike,Suspicious_Gap,Suspicious_RSI,Suspicious_BB,Pattern_Score,Pattern_Anomaly,Sentiment_Score,Sentiment_Anomaly,IsoForest_Score_Norm,WaveLSTM_Score_Norm,Combined_Suspiciousness,Is_Suspicious
2024-01-31,1154.56005859375,1158.8501834885712,1130.3978286327497,1143.021409175492,5981966,0.0103999613708394,-0.3363583682875367,0.5065993760846144,0,0.010399961370839428,0.010346253822591144,6974227.2,0.857724566242981,0.014493803402706848,30.13937743980559,0.026104642383450578,1152.291796875,1082.9831848144531,0.06399786537075507,75.29773628431722,37.09952094905452,30.17659465972173,6.922926289332793,1082.9831848144531,1185.6405310156017,980.3258386133045,0.8486203200648101,0.00030204499160863576,0.024892232662855732,0.008920302355747006,0,0.4392927820508189,0.0,0,0,0,0,0,0.0,0,0,0,0.24454250653908435,0.0,0.06113562663477109,0
2024-02-01,1135.328857421875,1154.066912673751,1133.109877194679,1148.988009796964,3606209,-0.0166567352029296,-0.5348134735481809,-0.9445288762558754,0,-0.01665673520292965,-0.016797018573752945,5786150.6,0.6232483820936151,0.015449174726730549,30.403544574898643,0.02677950478942247,1144.6486328125,1089.368911743164,0.05074472061156906,69.44199870023576,35.71941546128642,31.285158820034667,4.43425664125175,1089.368911743164,1188.0998851570862,990.6379383292418,0.7327534313169758,-0.004826122950739138,0.018239559769448948,0.010381283266187669,0,0.43392164910247855,0.0,0,0,0,0,0,0.0,0,0,0,0.2272726206955793,0.0,0.056818155173894824,0
2024-02-02,1134.9344482421875,1158.99795930292,1129.510274449626,1139.0764964379189,4969983,-0.0003473964192041,-0.4208927683911594,-0.0698122521650679,0,-0.0003473964192041157,-0.00034745677531889047,4495207.8,1.1056180762099586,0.015417976905541869,31.343959200067356,0.027617418123675425,1142.7255126953125,1095.0692260742187,0.04351897166532549,69.29999445897305,34.199614526777395,31.868049961383214,2.3315645653941814,1095.0692260742187,1190.2635253818687,999.8749267665687,0.7093887053001563,0.0033009281773688746,0.025887361336580022,0.00038408776068268267,0,0.4170244608236176,0.0,0,0,0,0,0,0.0,0,0,0,0.1729428330215824,0.0,0.0432357082553956,0
2024-02-05,1098.197998046875,1143.6624124679106,1094.6968922635126,1138.4354332057546,7809331,-0.0323687859261041,-0.1837123218170361,-1.7872112282732933,0,-0.03236878592610415,-0.03290424149219811,5253902.4,1.4863867665299606,0.017468727972811137,32.94303045104069,0.02999735066866746,1133.1395263671875,1098.3064697265625,0.03171524305897714,57.39270878224541,29.68860506647593,31.432160982401758,-1.7435559159258283,1098.3064697265625,1188.9740927081566,1007.6388467449683,0.49940181689934965,0.003084746408913343,0.04301124049390707,0.04811253504920244,0,0.5059873060277311,0.0,0,0,0,0,0,0.0,0,0,0,0.4589864286214984,0.0,0.1147466071553746,0
2024-02-06,1118.4154052734375,1140.1613394996843,1107.5176985530247,1109.490125442701,9863065,0.0184096194516096,-0.0121568987887702,0.9361803155353424,0,0.018409619451609682,0.018242213868069703,6446110.8,1.530079966977918,0.017756798439153877,33.81653765489649,0.03023611575399286,1128.287353515625,1102.6186889648438,0.023279729255160107,56.43161563335701,27.428791335692267,30.63148705305986,-3.202695717367593,1102.6186889648438,1188.097528170397,1017.1398497592907,0.5924013267810463,0.010282414843141895,0.029422200520833282,0.02816818992259498,0,0.4453095331297392,0.0,0,0,0,0,0,0.0,0,0,0,0.2638882582233443,0.0,0.06597206455583607,0
2024-02-07,1118.661865234375,1132.4194934862471,1116.1963318281346,1123.0998253656078,2770694,0.0002203653130807,-0.6046068982426455,-0.0393615617760888,0,0.00022036531308078366,0.0002203410362116335,5803856.4,0.4773884481359669,0.017774616724608887,33.284683228327495,0.029754016171234993,1121.10771484375,1106.8224182128906,0.012906584105808859,58.006655458957745,25.365363807481344,29.57826240394416,-4.212898596462814,1106.8224182128906,1186.270760802502,1027.3740756232792,0.574510346192121,0.004188443819785375,0.014444986359811188,0.00010519985483463181,0,0.4087561518990164,0.0,0,0,0,0,0,0.0,0,0,0,0.14635761299070987,0.0,0.03658940324767747,0
2024-02-08,1126.4036865234375,1130.6936908412158,1100.811375933111,1128.6226667278795,6519392,0.006920608925415,-0.2914653369717047,0.3199917235339987,0,0.006920608925415017,0.006896771428268448,6386493.0,1.020809386309513,0.017613097660320706,33.2952601844815,0.029558905552985966,1119.3226806640625,1110.6513916015624,0.0078073904449857245,62.004246018378524,24.077235518609086,28.478057026877146,-4.400821508268059,1110.6513916015624,1185.7984005045155,1035.5043826986093,0.6048098597125672,0.008904211185761285,0.026476798481054782,0.007064622550041041,0,0.42799422382785374,0.0,0,0,0,0,0,0.0,0,0,0,0.20821407963483202,0.0,0.052053519908708004,0
2024-02-09,1104.8055419921875,1130.1511777731437,1100.860688461307,1130.1511777731437,4203171,-0.0191744263532296,-0.4849471965903082,-1.0795598749185105,0,-0.019174426353229634,-0.019360639867309758,6233130.6,0.6743274398903177,0.018313313064605017,33.92220300802808,0.03070422958492722,1113.2968994140624,1113.4892211914062,-0.00017271992730919335,56.45659886294649,21.070704839437212,26.99658658938916,-5.925881749951948,1113.4892211914062,1182.7372715163071,1044.2411708665052,0.4373001899802507,0.0033269522237383024,0.025917319636431964,0.01292984183413878,0,0.4322700694625178,0.0,0,0,0,0,0,0.0,0,0,0,0.22196227144190964,0.0,0.05549056786047741,0
2024-02-12,1103.2769775390625,1113.4350245897435,1095.979094059811,1107.4191464085875,3887976,-0.0013835597261475,-0.5112765126367846,-0.1253846626640608,0,-0.0013835597261475652,-0.0013845177286432098,5448859.6,0.7135393982256398,0.01832812900526073,31.6961884650894,0.028729130681028073,1114.3126953125,1116.2432250976562,-0.001729488467880645,48.57272330607287,18.35310210206535,25.2678896919244,-6.914787589859049,1116.2432250976562,1178.5956211391979,1053.8908290561146,0.39602446432086486,0.0023656691762128,0.015762713320013506,0.0009872243744045647,0,0.41448702265112,0.0,0,0,0,0,0,0.0,0,0,0,0.1647841692917027,0.0,0.041196042322925674,0
2024-02-13,1102.4385986328125,1109.4900483509175,1088.582372928055,1095.683061082551,3211554,-0.0007598988498065,-0.5677803550796842,-0.0919359408265516,0,-0.0007598988498065395,-0.0007601877192878367,4118557.4,0.7797764333696066,0.018189045644972396,29.83998688379961,0.02706725519299272,1111.117333984375,1118.289617919922,-0.006413619352818357,39.35292013089959,15.947894778531236,23.403890709245765,-7.455995930714529,1118.289617919922,1175.5578137269986,1061.0214221128454,0.3616071358306109,-0.006883055308060854,0.01908186424111125,0.0005925512148238098,0,0.42284342989310636,0.0,0,0,0,0,0,0.0,0,0,0,0.19165265318866825,0.0,0.04791316329716706,0
2024-02-14,1100.4661865234375,1105.693165642393,1089.4698831537632,1094.6968622727188,4653070,-0.0017891355689296,-0.4473655948517219,-0.1471368585510676,0,-0.0017891355689296784,-0.0017907379835482454,4495032.6,1.035158232222832,0.01743593570823709,27.201869173026402,0.024718496130228043,1107.4781982421875,1118.9528381347657,-0.010254802080582532,26.639283810582228,13.724387279532493,21.46799002330311,-7.743602743770616,1118.9528381347657,1174.9993294561289,1062.9063468134025,0.3350775296054828,-0.007022374189088249,0.01481988580377255,0.0018520384127402368,0,0.4366691922934084,0.0,0,0,0,0,0,0.0,0,0,0,0.2361068383017772,0.0,0.0590267095754443,0
2024-02-15,1105.2493896484375,1115.8511844698764,1094.1052496499617,1106.8274275131655,5056712,0.0043465243944578,-0.4136479984823891,0.1819361860961455,0,0.004346524394457818,0.004337105540292041,4202496.6,1.2032637932413794,0.017380769428650734,25.68380154308597,0.023238014681243646,1103.2473388671874,1120.1757385253907,-0.015112271294580936,35.1361084102726,12.207485787102769,19.615889176063042,-7.408403388960274,1120.1757385253907,1173.7281166161447,1066.6233604346367,0.36063785205152027,0.005780496545581524,0.019647087052020198,0.005230015430291504,0,0.41639578793483567,0.0,0,0,0,0,0,0.0,0,0,0,0.17092145147571594,0.0,0.042730362868928985,0
2024-02-16,1104.55908203125,1111.5119351222047,1101.4524855355598,1108.5039358956474,3091952,-0.0006245718148797,-0.5777711190759108,-0.0846779637430471,0,-0.0006245718148797375,-0.0006247669411068332,3980252.8,0.7768230198845661,0.01719635960887691,25.574618836538466,0.02315369023946418,1103.198046875,1121.8892883300782,-0.01666050442722375,34.17199175254666,10.824846280413794,17.857680596933193,-7.0328343165193985,1121.8892883300782,1170.7040805591485,1073.074496101008,0.3224902175399641,0.002944626142924262,0.009074798258174014,0.00048518176336966186,0,0.4149485719328392,0.0,0,0,0,0,0,0.0,0,0,0,0.16626819575001361,0.0,0.041567048937503404,0
2024-02-19,1126.4530029296875,1129.214448863523,1102.9318352120604,1105.5946838741286,4711035,0.0198214122310009,-0.4425235802111534,1.0118988121758814,0,0.01982141223100098,0.01962752591879002,4144864.6,1.1365956320985733,0.01766626531938342,25.599281081635354,0.02272556512793392,1107.833251953125,1124.6087646484375,-0.014916754361732785,44.58345050761938,11.364745242508207,16.559093526048198,-5.194348283539991,1124.6087646484375,1167.427854489722,1081.789674807153,0.5215352344957115,0.0009375703479565236,0.023772377015567295,0.022528930563780948,0,0.4222025995572206,0.0,0,0,0,0,0,0.0,0,0,0,0.18959218161735453,0.0,0.04739804540433863,0
