Stock,Date,Close,Volume,Returns,Volume_Ratio,Combined_Suspiciousness
HINDUNILVR,2025-07-11,2519.60009765625,7242235,0.04617181523894143,2.548243524796786,0.4419217312476389
HINDUNILVR,2024-10-24,2450.516845703125,9216267,-0.05798524451864118,3.3271472185335216,0.400336348451674
BAJFINANCE,2024-04-26,665.6503295898438,58147230,-0.07727314877016733,2.8723631907028806,0.4001734747143928
HDFCBANK,2024-06-19,817.869873046875,90131196,0.031129539458385258,2.1308811088995028,0.3937579324803109
BAJFINANCE,2025-09-04,934.75,21738706,0.042898597267316596,2.521325840753323,0.3937193537201865
SHRIRAMFIN,2025-04-07,611.2579345703125,15188995,-0.06058743665319111,2.105248225188812,0.38226714900519565
SHRIRAMFIN,2025-08-28,571.6500244140625,20025147,-0.03875901684855598,1.9102879099934273,0.37891770409887493
HINDUNILVR,2024-06-04,2418.34765625,7826048,0.05959524754424006,2.174801865260485,0.35530807965468414
HINDUNILVR,2024-06-05,2521.47314453125,11061076,0.04264295417357866,2.0139509892799405,0.3521844671577715
HINDUNILVR,2024-05-07,2305.097900390625,8277810,0.05460507827038019,2.470713994829708,0.3462290262265162
HDFCBANK,2024-07-03,872.531005859375,123217802,0.021986632970162567,2.266056082699568,0.3460805299446459
SHRIRAMFIN,2025-03-19,664.9669799804688,9823834,0.07172080692719907,1.9628883943221695,0.3334278695840471
HDFCBANK,2024-09-20,858.989013671875,60623386,0.019139539375109926,1.809734929777072,0.3296564668956765
SHRIRAMFIN,2025-04-28,619.22216796875,32221482,-0.050671591345480826,2.8701793670923825,0.32516178374062293
BHARTIARTL,2024-07-26,1493.5216064453125,9564987,0.04502642262360812,1.9230890791754442,0.3206014600593669
BHARTIARTL,2024-09-20,1697.55859375,21646275,0.02817074270741382,2.6205607899789944,0.3096081577870029
BHARTIARTL,2024-09-12,1633.097412109375,12204496,0.043700045068804316,1.8068325221373882,0.30322230479393925
BHARTIARTL,2025-06-20,1920.6435546875,16228526,0.031806021481542546,2.1189380886675035,0.30269682776148343
BHARTIARTL,2025-02-28,1557.18212890625,13640211,-0.04859431556770488,1.8130604366903842,0.30225767768969053
BHARTIARTL,2025-08-08,1858.5999755859373,93801105,-0.03328825591007056,4.196052330687257,0.2995373268383626
BHARTIARTL,2024-08-30,1575.8758544921875,37820442,0.014783787733257725,3.1331652401266394,0.29914754787640563
BAJFINANCE,2025-09-12,1003.25,11412561,0.03401185261530526,1.6162284299979344,0.29885982798076405
BAJFINANCE,2024-03-28,716.4849243164062,35745180,0.031682686945808,1.8039556923057047,0.298655697931301
HDFCBANK,2024-11-25,880.8929443359375,427737274,0.022914698246347953,3.776658532716199,0.2982384187334976
BAJFINANCE,2024-08-29,702.0231323242188,26391590,0.023702807612674404,1.8742868871028566,0.29294325774199353
BAJFINANCE,2025-03-21,886.1420288085938,27448010,0.027241818178730837,2.3146708147675406,0.28188974451561777
BAJFINANCE,2025-01-02,734.388427734375,31716510,0.06544768173732796,3.0194329315103547,0.27943042090460435
HDFCBANK,2025-01-09,822.778564453125,40420222,-0.015640693917462478,1.7284108474161126,0.27855885591799645
BAJFINANCE,2024-07-24,656.6630859375,31006260,-0.017830875757901876,2.091841925379768,0.2767598835529176
HINDUNILVR,2025-07-07,2410.39990234375,2701583,0.030393644266045516,1.9599651243572906,0.2760565171228241
HDFCBANK,2024-09-18,836.0985107421875,40917342,0.015580102911475713,1.5440289435328842,0.26957911864659145
BHARTIARTL,2024-06-28,1424.1416015625,29145832,-0.021513739992307324,2.0539476917549795,0.26777094388608397
HINDUNILVR,2025-04-07,2225.990966796875,3435185,0.0021606944206755685,1.7683523467731856,0.26330653747274824
HDFCBANK,2025-03-25,898.5789184570312,39101416,0.011916674078431333,1.5887289653401464,0.26295106958225567
BAJFINANCE,2024-07-23,668.5845336914062,19322120,-0.022827418843773595,1.9842762335257418,0.2627944854715841
HINDUNILVR,2024-07-18,2678.7333984375,5569762,0.01857945006268591,2.120492684977491,0.2616450859553742
HINDUNILVR,2025-09-04,2666.60009765625,2494678,0.0007130808418183143,1.5399288738808918,0.26039131122050196
HINDUNILVR,2025-02-01,2479.97021484375,2970999,0.01508828346642388,1.6326253272532902,0.2575140551969198
HINDUNILVR,2025-08-20,2669.800048828125,3156954,0.024953930736158814,1.6237851523489628,0.25689546532214913
SHRIRAMFIN,2024-06-25,585.3222045898438,15844875,0.037331933770718306,1.6853017447823573,0.25567146766142124
HINDUNILVR,2024-07-16,2629.871826171875,3298003,0.02600845136559604,1.7679011623001477,0.25553729924675284
BAJFINANCE,2024-06-04,643.7313232421875,32993870,-0.05870821017819128,1.799749799208792,0.25401383233320524
BHARTIARTL,2024-04-18,1248.2996826171875,19939924,0.04052779810848306,2.277472759483089,0.2521271516529462
HDFCBANK,2024-04-04,743.461181640625,88935066,0.030560629026979758,1.7333796139272286,0.2521233530884793
BHARTIARTL,2025-09-19,1962.4000244140625,11287603,0.010973184841597705,1.907727473911653,0.2511167863187562
