Date,Close,High,Low,Open,Volume,ret,vol_z,ret_z,label,Returns,Log_Returns,Volume_MA5,Volume_Ratio,Volatility_20,ATR,ATR_Percent,MA5,MA20,MA_Cross,RSI,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,BB_Position,Price_Gap,Intraday_Range,Volume_Price_Trend,IsoForest_Anomaly,IsoForest_Score,WaveLSTM_Score,WaveLSTM_Anomaly,Suspicious_Volume_Spike,Suspicious_Gap,Suspicious_RSI,Suspicious_BB,Pattern_Score,Pattern_Anomaly,Sentiment_Score,Sentiment_Anomaly,IsoForest_Score_Norm,WaveLSTM_Score_Norm,Combined_Suspiciousness,Is_Suspicious
2024-01-31,711.80224609375,717.8371016849802,699.2700884068386,700.5841161285045,65761040,0.0126358848431986,2.0305056447313814,0.792017648166316,0,0.012635884843198664,0.012556718246111407,71616312.4,0.9182410793884996,0.023154074988346245,21.913014912438534,0.030785256765756844,705.918212890625,767.285610961914,-0.07997986303217033,26.95841347299543,-31.923751538131683,-25.23661084915056,-6.687140688981124,767.285610961914,872.0760851552883,662.4951367685397,0.2352652266570613,-0.0033234367604959166,0.02650218988798198,0.011602788537447523,1,0.6053158585422537,0.0,0,0,0,0,0,0.0,0,0,0,0.8326378485392394,0.0,0.20815946213480985,1
2024-02-01,713.651611328125,717.1800828855794,708.6387839338071,713.0189555223712,32690740,0.0025981447017398,0.4900149293240548,0.1345793457719332,0,0.002598144701739802,0.0025947753585598113,60953579.6,0.5363219061871142,0.023193856576150577,21.878251669216088,0.030656767702801187,706.9353759765625,761.6218048095703,-0.07180260397965002,26.66173507145308,-31.04996387608287,-26.39928145453702,-4.650682421545849,761.6218048095703,865.0756394837986,658.1679701353421,0.26815652299162496,0.0017093363153858226,0.011979062948634796,0.0013934419189870417,1,0.5488440532987233,0.0,0,0,0,0,0,0.0,0,0,0,0.6410596928173072,0.0,0.1602649232043268,0
2024-02-02,703.8206176757812,720.7085896391353,701.8252179588541,717.8614898495053,44867754,-0.0137756203395211,1.057248277929451,-0.937847330036252,0,-0.013775620339521177,-0.013871384690041412,50138760.0,0.8948716322461904,0.02316561287855522,22.53527405470043,0.032018490917640925,708.030419921875,756.1040069580079,-0.0635806537113124,25.819514428040392,-30.795765470663582,-27.278578257762334,-3.5171872129012485,756.1040069580079,859.5273649013337,652.680649014682,0.2472360677416945,0.0058990667919121605,0.026305035090042245,0.012327411858431135,1,0.5795624450815947,0.0,0,0,0,0,0,0.0,0,0,0,0.7452705077386252,0.0,0.1863176269346563,1
2024-02-05,703.1878662109375,706.6190243767684,697.9316959646247,703.7475666832909,38605046,-0.0008990237696264,0.7655169199645341,-0.0944734560141913,0,-0.0008990237696264725,-0.000899428133869192,44730669.6,0.863055401254266,0.022841066767408175,22.377099496115743,0.03182236294362226,707.076513671875,750.1177734375,-0.05737933600530958,26.22592362798504,-30.296134181896264,-27.88208944258912,-2.414044739307144,750.1177734375,851.08978162724,649.14576524776,0.2676093203060057,-0.0001037920610106811,0.012344381456388354,0.000775907320232098,1,0.5373869767409877,0.0,0,0,0,0,0,0.0,0,0,0,0.6021920563493295,0.0,0.15054801408733237,0
2024-02-06,702.8228759765625,705.5483042801744,697.2259898811583,703.5286059562596,41075740,-0.0005190508140331,0.8806075350364442,-0.0695865022416711,0,-0.0005190508140331396,-0.0005191855675382089,44600064.0,0.9209793959040059,0.022890170305725138,21.591445088304948,0.030721033458542366,707.0570434570312,744.3237823486328,-0.05006791368940331,20.0732373027772,-29.588546106180956,-28.223380775307486,-1.3651653308734701,744.3237823486328,841.9691173841834,646.6784473130822,0.28749160747433206,0.00048456431303086,0.011829390203265676,0.0004780351051517234,0,0.534302928547036,0.0,0,0,0,0,0,0.0,0,0,0,0.5917295562998466,0.0,0.14793238907496165,0
2024-02-07,695.936279296875,707.5437822099352,694.3302519335382,707.154409837675,54837086,-0.0097984811181888,1.521642715984538,-0.6773580544413125,0,-0.009798481118188818,-0.00984680214182077,42415273.2,1.2928617892292626,0.02288036899265793,21.647065560295307,0.03110495343361892,703.8838500976562,738.6417266845704,-0.047056475868113415,18.043071657974167,-29.24633471525442,-28.427971563296875,-0.8183631519575449,738.6417266845704,833.4845396683197,643.798913700821,0.2748619740168787,0.006163051899945426,0.018685495123236445,0.01266808183019074,1,0.5590667234932378,0.0,0,0,0,0,0,0.0,0,0,0,0.6757396591115142,0.0,0.16893491477787856,1
2024-02-08,682.844482421875,700.3164537570308,681.6034099643059,695.8876252029665,69106124,-0.0188117752507844,2.186327359208045,-1.2676985802973364,0,-0.01881177525078448,-0.018990967536899488,49698350.0,1.390511435490313,0.02302567213007127,17.743150540990833,0.02598417501750971,697.7224243164062,732.6202087402344,-0.04763420938638331,25.56786587444691,-29.689288678599723,-28.680234986357448,-1.0090536922422757,732.6202087402344,825.4559158836823,639.7845015967864,0.23191497188981997,-6.991170794775939e-05,0.026890898925335714,0.026157988608089468,1,0.5574553575459588,0.0,0,0,0,0,0,0.0,0,0,0,0.67027316986008,0.0,0.16756829246502,1
2024-02-09,683.1121215820312,688.2709787615526,675.0331498393979,677.5395933880455,56642124,0.0003919474595548,1.6057255419630572,-0.0099191717438276,0,0.0003919474595548422,0.0003918706682141085,52053224.0,1.088157843979078,0.022960747953290533,16.691559471755706,0.024434582471028962,693.5807250976562,726.4794555664063,-0.04528514910734847,31.60239271386095,-29.676642777520442,-28.87951654459005,-0.7971262329303919,726.4794555664063,815.0478191711444,637.9110919616681,0.25517593292163404,-0.007768809985861448,0.019538089067177227,0.000426500702542274,0,0.5023634704158703,0.0,0,0,0,0,0,0.0,0,0,0,0.4833763266281671,0.0,0.12084408165704177,0
2024-02-12,676.4931640625,688.0032934481292,673.2566920790741,681.18969323455,34447812,-0.009689415998361,0.5718633885851495,-0.670214655008819,0,-0.00968941599836104,-0.00973666383993487,51221777.2,0.6725227800178709,0.022946050492782085,16.290046281400027,0.024080134355792277,688.2417846679688,720.1768737792969,-0.044343397120961775,31.872293213032947,-29.85654766823268,-29.07492276931858,-0.7816248989140995,720.1768737792969,803.7534109057838,636.60033665281,0.23866044694646266,-0.002814220809065869,0.02164830371850244,0.0065163529839674,0,0.48798319931057993,0.0,0,0,0,0,0,0.0,0,0,0,0.43459187914588066,0.0,0.10864796978647016,0
2024-02-13,678.658935546875,683.4771364619307,673.7434212435891,677.4422211445823,57580994,0.0032014683952887,1.649460268227242,0.1740950235331932,0,0.003201468395288787,0.0031963546068602402,54522828.0,1.0560896437726965,0.02307820208243123,15.257578926486572,0.02248195393491983,683.4089965820312,714.1723907470703,-0.04307558590000732,41.04028830640479,-29.484485140342258,-29.156835243523318,-0.3276498968189401,714.1723907470703,790.9606515046696,637.3841299894709,0.2687572628301737,0.0014029071282597545,0.014368332699866171,0.0033810376171300813,0,0.471494398373746,0.0,0,0,0,0,0,0.0,0,0,0,0.3786543354473532,0.0,0.0946635838618383,0
