symbol,publishedAt,title,description,sentiment,neg,neu,pos,url
HINDUNILVR,2025-10-23T01:08:10Z,Stock Market Live Updates 23 October 2025: Stock to buy today: Indus Towers (₹360.15),"Sensex, Nifty, Share Prices LIVE: The stock of Indus Towers rebounded sharply towards the end of last week. Early in September, it bounced off a support at ₹315, which has been holding well since April last year. Also, the price is now above 50-day moving ave…",neutral,8.640495e-06,0.99998975,1.7201245e-06,https://www.thehindubusinessline.com/markets/stock-market-live-updates-23-october-2025-stock-to-buy-today-indus-towers-36015/article70187388.ece
HINDUNILVR,2025-10-23T01:08:10Z,"Stock Market Live Updates 23 October 2025: Markets surge up on first full trading day of Samvat 2082; Sensex scales 85,000 mark","Sensex, Nifty, Share Prices LIVE: After opening above the 85,000 mark, Sensex traded 527.32 points or 0.62 per cent higher at 84,953.66 at 9.20 am. Nifty 50 climbed 137.75 points or 0.53 per cent to 26,006.35",negative,0.99852246,0.0014766284,9.597504e-07,https://www.thehindubusinessline.com/markets/stock-market-live-updates-23-october-2025-markets-surge-up-on-first-full-trading-day-of-samvat-2082-sensex-scales-85000-mark/article70187388.ece
