Date,Close,High,Low,Open,Volume,ret,vol_z,ret_z,label
2020-08-21,111.24356842041016,111.24356842041016,105.9675840614249,105.9675840614249,807716,,-0.26794003323317467,,0
2020-08-24,116.76842498779295,116.76842498779297,116.76842498779297,116.76842498779297,56263,0.049664503268209925,-0.4079317487239576,1.9740341028085513,0
2020-08-25,122.59191131591795,122.59191131591797,122.59191131591797,122.59191131591797,45326,0.049872097947144534,-0.4099692539203208,1.9826503118348604,0
2020-08-26,123.43806457519533,128.71404940545025,116.469786736273,128.71404940545025,3240477,0.006902194852781429,0.18527046132745997,0.19918616525187263,0
2020-08-27,117.2661590576172,122.44259075060936,117.26615905761719,122.44259075060936,771809,-0.05000001854224112,-0.274629317231146,-2.162537975209355,0
2020-08-28,111.44266510009766,116.46978269003122,111.44266510009766,111.44266510009766,820058,-0.049660481799000955,-0.2656407839752873,-2.1484455159667406,0
2020-08-31,105.9178237915039,106.81374673946496,105.9178237915039,106.7141938381648,519749,-0.049575638770226305,-0.32158676075270587,-2.144924109377231,0
2020-09-01,105.2209930419922,109.99924377323735,100.64184052152734,100.64184052152734,803353,-0.006578975327923953,-0.26875283703419256,-0.3603492756001173,0
2020-09-02,105.96759033203124,109.50150559601234,100.64183680609827,100.64183680609827,181669,0.007095516478741848,-0.38456927485954145,0.20720997177297143,0
2020-09-03,111.24356842041016,111.24356842041016,102.63276719821094,106.51509459493411,849547,0.04978860113594674,-0.2601471393985703,1.9791847799532025,0
2020-09-04,114.72771453857422,120.35211160758544,104.82280859898538,106.5151015672663,1513362,0.031319978023329975,-0.13648191932690373,1.2126453003138635,0
2020-09-07,112.8363265991211,118.16208031113858,112.13950184981793,115.12590665223748,740174,-0.01648588527244821,-0.2805227502463192,-0.7715351852049095,0
2020-09-08,109.50150299072266,115.72317929701371,106.96305601982802,114.08065523318893,845613,-0.029554521215904406,-0.2608800227708381,-1.3139484086817246,0
2020-09-09,110.9449234008789,114.42906196109267,105.1214361834855,105.5196249664738,798343,0.013181740622122184,-0.26968617350980556,0.45981846669905174,0
2020-09-10,111.1938018798828,115.42454199537696,110.49697713408241,112.73678072463814,731283,0.0022432615335143957,-0.2821790964747973,0.005817320132842654,0
2020-09-11,130.953857421875,133.34297525724236,119.7548390880141,119.90415325660928,11027186,0.17770824639432714,1.6358931229410525,7.288484651096359,0
2020-09-14,120.35211181640624,128.76382300699044,119.60551063590103,126.42446656555143,3503925,-0.08095787183507441,0.23434942895765878,-3.447442464793534,0
2020-09-15,118.21184539794922,124.83171025919826,116.7684195868073,121.44711695620887,1262738,-0.01778337235761951,-0.18317184365106237,-0.8253873359061998,0
2020-09-16,120.15300750732422,121.44711919238401,116.37023294183022,119.35663751213475,749709,0.016421045647669663,-0.27874643022736306,0.5942656950352004,0
2020-09-17,117.16661071777344,120.80007137189727,115.57386302680439,119.45619074498026,616594,-0.02485494829889079,-0.3035450499781067,-1.11889281864839,0
2020-09-18,116.32046508789062,120.35211459357872,114.72771738502352,118.06253454926842,1105400,-0.00722173001932247,-0.21248308005824793,-0.3870267839165754,0
2020-09-21,110.39743041992188,118.75936523706483,107.36124922015507,117.41547702400149,1758904,-0.05091997064741238,-0.0907387446971693,-2.200720551338127,0
2020-09-22,108.55581665039062,111.89063379810932,106.51510368210451,110.44720026608594,574753,-0.016681672413264015,-0.3113398067597682,-0.7796613228236092,0
2020-09-23,110.44719696044922,115.37476925048189,108.05807928690352,110.39742810589527,1230845,0.01742311345830383,-0.18911334070030902,0.6358564803061448,0
2020-09-24,108.25717163085938,112.43813522143354,107.51057044719828,109.5015069369612,388647,-0.019828709010823342,-0.34601036926085293,-0.9102789536664363,0
2020-09-25,109.4019546508789,111.49243631277962,108.75489881402834,109.60104524922393,473902,0.010574662193494788,-0.33012781412544634,0.35161177852998243,0
2020-09-28,116.02182006835938,118.95844817791996,110.84538094640335,111.04447914041293,5291935,0.060509571685493535,0.5674462257163048,2.424158243116471,0
2020-09-29,112.93586730957033,116.96751666664649,111.24357436168293,116.4697825531714,1304995,-0.026598037825736776,-0.17529958827182507,-1.1912396812556256,0
2020-09-30,114.82725524902344,117.36570219469614,112.23903945028674,112.48790650006565,1287726,0.01674745131472366,-0.17851671154475143,0.6078131494745072,0
2020-10-01,115.37477111816406,118.56026646433823,113.83179230043659,116.17114115729761,1655056,0.004768169960635449,-0.11008507729586388,0.11061354560458146,0
2020-10-05,113.48338317871094,117.11684389594072,113.0851943503479,115.52409617730882,319039,-0.016393427446248277,-0.3589779711359967,-0.7676977267462188,0
2020-10-06,115.02635955810548,116.76842899912937,113.58292603579366,113.63270248632236,440115,0.013596496122826318,-0.33642215334730996,0.47703287752700946,0
2020-10-07,113.7820281982422,115.22545417590861,111.44267164883618,115.22545417590861,407920,-0.01081779310971509,-0.3424199113976814,-0.5362812417747079,0
2020-10-08,112.13948822021484,115.3747596962829,111.59197770172179,114.92679447347425,550754,-0.014435847242638022,-0.31581069340213075,-0.6864484369925842,0
2020-10-09,110.19833374023438,113.08519322357664,109.05355131297496,112.63723554289427,545283,-0.017310177804347626,-0.31682991173707664,-0.8057474144880511,0
2020-10-12,108.0580825805664,112.28882268242005,107.11238317737765,110.7458438426395,415407,-0.019421810539468676,-0.3410251229360218,-0.8933906485341944,0
2020-10-13,112.13948822021484,112.8860893300767,108.30693737522117,109.10330733551561,547097,0.037770479932451195,-0.31649197314091654,1.480373129653371,0
