Date,Close,High,Low,Open,Volume,ret,vol_z,ret_z,label
2018-01-01,111.122802734375,112.33390664256396,108.63039624299435,109.35003800620788,8934389,,-0.36293931949596014,,0
2018-01-02,111.87754821777344,113.73808094368034,110.38561388877123,110.87707603731228,7665379,0.0067919946656003205,-0.443122035074357,0.36152191344590806,0
2018-01-03,108.80592346191406,112.47433113957854,108.38467425450573,112.47433113957854,5860470,-0.02745523838152364,-0.5571656635657706,-1.6213130946854835,0
2018-01-04,109.40269470214844,109.87660181651457,107.9283082839037,108.85857462958272,3905556,0.005484731173144963,-0.6806873956578944,0.2858344027461124,0
2018-01-05,108.66548919677734,110.19253342555949,108.01606045205119,109.87659299401852,4301878,-0.006738458384212165,-0.65564569054646,-0.42185979643209304,0
2018-01-08,109.2271728515625,109.84149873938692,108.50753109759854,108.82347155402164,4760660,0.005168923997277863,-0.6266574346473827,0.2675499029949426,0
2018-01-09,111.35098266601562,112.33390695873294,107.55971141352954,109.73618459254772,12201522,0.01944396947213245,-0.15650470030793598,1.0940417796163826,0
2018-01-10,114.68590545654295,115.08960679834034,110.61380341066574,111.0701626913056,10163032,0.02994964849596382,-0.2853072029512613,1.7022961201635771,0
2018-01-11,112.72004699707033,114.4577158674265,111.98285738934128,113.58010749108355,5643897,-0.01714123851267435,-0.5708498829659014,-1.0241565306595206,0
2018-01-12,111.91265106201172,113.65032003528054,111.35098309628675,112.68495076412975,8433768,-0.007162842427483995,-0.3945711831184474,-0.44643064385599607,0
2018-01-15,110.57868957519533,113.82584073175633,110.01702161435145,111.93020511466213,3187225,-0.011919666580655242,-0.726075320311085,-0.7218396804182943,0
2018-01-16,116.52886962890624,117.24851137719813,110.92973086652181,111.24567132045472,16443849,0.05380946434226552,0.11154779670276815,3.0837238717870963,0
2018-01-17,114.3348617553711,117.07300314807578,114.08913423074213,116.89748144705615,8113347,-0.018828019876294233,-0.4148170644813567,-1.1218172419422965,0
2018-01-18,114.21199035644533,115.23001758268956,113.08865440182838,114.79121335948047,4722081,-0.001074662592312925,-0.6290950584520012,-0.09393921494651271,0
2018-01-19,115.47573852539062,115.84433690872753,112.50942500194849,114.79120683290256,4288268,0.01106493429456279,-0.6565056418147889,0.6089151633554873,0
