Date,Close,High,Low,Open,Volume,ret,vol_z,ret_z,label,Anomaly
2018-01-01,415.2442626953125,419.6435701174062,413.8179772340148,416.911548320176,5431340,-0.0037251435393266,-0.4527130169851244,-0.2644369460090183,0,0
2018-01-02,413.6974182128906,418.6391475373377,411.005612217559,416.730763707393,6112248,-0.0037251435393266,-0.3272162945369919,-0.2644369460090183,0,0
2018-01-03,410.3225708007813,414.46074520687387,409.23780044611135,413.2152835726382,6846552,-0.0081577676425638,-0.1918782675486859,-0.5231441659997143,0,0
2018-01-04,407.9521789550781,410.202053080989,405.62192240535546,410.202053080989,8947614,-0.0057768985046987,0.1953640539695193,-0.3841862887980627,0,0
2018-01-05,406.5862121582031,412.3716384245068,404.1756219675418,407.9120318587085,11025976,-0.0033483502904035,0.578422586195232,-0.2424456533413295,0,0
2018-01-08,416.2486877441406,417.43387499025016,409.820422606522,411.7689977562696,5594690,0.0237648874875713,-0.4226063217900284,1.3400008178954084,0,1
2018-01-09,418.3778991699219,419.8041842858608,413.3759454193335,417.83552632427273,9948236,0.0051152387706505,0.3797865918299868,0.251526212111891,0,0
2018-01-10,422.7571716308594,424.2637902040271,415.0433041536701,420.567572255285,9468634,0.0104672652872586,0.2913921551666355,0.5638937553955549,0,0
2018-01-11,432.21875,435.27215379131104,423.9624607140807,423.9624607140807,16775298,0.0223806454486412,1.6380680409394,1.25921043248368,0,1
2018-01-12,433.2834777832031,436.2766566883595,430.1095732752301,436.2364899940021,18016528,0.0024634002648036,1.8668365336055095,0.0967533841585997,0,0
2018-01-15,434.3683166503906,439.1091150656399,427.9199676385062,433.906277009672,10649250,0.0025037623699335,0.5089890088822981,0.0991090921473525,0,0
2018-01-16,451.121826171875,455.922947409011,434.4084117682807,434.4084117682807,22646966,0.0385698239933294,2.720262829814815,2.2040812985177665,0,1
2018-01-17,462.87347412109375,466.77062427818566,451.18212173698186,451.9253772223112,26154088,0.026049832367768,3.36665311488378,1.4733601382483237,0,1
2018-01-18,463.1145629882813,468.0161261246696,454.8382125977465,460.0209916574517,13204970,0.0005208526318025,0.9800283908474698,-0.0166221437744347,0,0
2018-01-19,459.3981323242188,461.1860158551698,456.40500293472655,460.0208876410756,5988278,-0.0080248624445794,-0.3500649446951557,-0.5153872406453315,0,0
2018-01-22,462.02978515625,464.8220325012829,454.7980146059783,454.8582891692804,9650214,0.0057284796059509,0.32485878334861,0.2873176142227671,0,0
2018-01-23,472.9176330566406,477.2968819336037,464.03863521322586,464.03863521322586,15403796,0.0235652510945989,1.3852893897397391,1.3283491697899137,0,0
2018-01-24,476.41302490234375,490.5752431822333,469.0607047310943,471.993609268903,20604718,0.0073911218389366,2.343860393030031,0.384356645712202,0,0
2018-01-25,472.2344970703125,475.4486164323108,466.951278560314,474.8861357352473,13548914,-0.0087708093893691,1.0434199866367695,-0.558923948440192,0,0
2018-01-29,475.2478332519531,480.6113862490257,468.1365632518386,468.6789852423438,10823002,0.0063810166354534,0.5410128748360069,0.3254025131250439,0,0
2018-01-30,470.326171875,475.3281261333869,467.1321109377908,473.6407328770474,8628312,-0.0103559890915776,0.1365141734113035,-0.6514419297516556,0,0
2018-01-31,462.130126953125,468.6989739804754,458.8758407146146,465.70584476434567,9213698,-0.0174262998999198,0.2444054367934675,-1.0640960170586615,0,0
2018-02-01,459.8601989746094,465.2036929733251,449.394250383278,458.89595318731614,13005454,-0.0049118805421354,0.9432560162007312,-0.3337000785702788,0,0
2018-02-02,459.3179016113281,467.2125947934655,454.0346813008056,456.1037811539561,10244486,-0.0011792657083401,0.4343878067154916,-0.1158484438598186,0,0
2018-02-05,457.2890319824219,463.9784309223456,456.344893775625,458.0122288032326,9860220,-0.0044171359787824,0.3635645478490161,-0.3048246342263558,0,0
2018-02-06,445.0552062988281,453.33155600241673,439.992976794193,441.9214194874157,10552078,-0.0267529392309239,0.4910794417840559,-1.608439249641322,0,0
2018-02-07,445.5774536132813,451.9052518058196,443.3677463079504,448.3697004998604,8342056,0.0011734438942896,0.0837549316618857,0.0214659204006776,0,0
2018-02-08,455.7019653320313,460.583420041593,448.590744229713,451.1017755573085,8807244,0.0227222262631292,0.1694927542784533,1.279146574340105,0,0
2018-02-09,445.6177062988281,450.0973963274113,444.3521366073688,449.1733171130545,4382690,-0.022129066364363,-0.6459874945874351,-1.3385699200889358,0,0
2018-02-12,443.0664978027344,450.2178859606418,441.05767263867335,447.88767819648086,6291972,-0.0057251057577656,-0.2940917418143507,-0.3811634388422174,0,0
2018-02-14,441.0375061035156,448.8920310676315,438.0041608918408,444.35206718331887,8345712,-0.0045794292939794,0.0844287613382448,-0.3142967779091532,0,0
2018-02-15,447.7469787597656,453.8738949294029,443.146789187535,443.146789187535,7986736,0.0152129298832812,0.0182666492209826,0.8408713799472648,0,0
2018-02-16,453.21099853515625,458.6749923728052,449.21340761773695,451.9855957470339,9889222,0.0122033649239257,0.368909845516896,0.6652200804274901,0,0
2018-02-19,454.6974792480469,456.4049802746024,450.0972902174617,453.3515764828882,6461840,0.0032798866702157,-0.2627837277378245,0.1444070816490086,0,0
2018-02-20,456.7867126464844,461.828883185164,443.4481338108958,443.4481338108958,7188594,0.0045947767335163,-0.1288372253820435,0.2211497841537105,0,0
2018-02-21,460.985107421875,462.7930496732775,458.0120370219653,461.0252741076361,13771358,0.0091911490837077,1.0844181727768245,0.4894140639719999,0,0
2018-02-22,466.3487548828125,467.6544912199817,458.1929052209074,460.2419460925618,17859974,0.0116351859844985,1.8379823948875849,0.6320586865323666,0,0
2018-02-23,464.2997741699219,468.458032488353,460.7240555368944,467.45361989725455,9459828,-0.0043936660952499,0.2897691398137857,-0.3034548297537027,0,0
2018-02-26,457.4496154785156,464.0586791010224,455.7421142423741,462.4315112467972,5083608,-0.0147537411657221,-0.5168027710933651,-0.9081138664672784,0,0
2018-02-27,462.1100463867188,463.4961649518956,452.2467458525075,460.0007803055835,6616026,0.0101878562152208,-0.2343660301231867,0.5475862268112413,0,0
2018-02-28,471.1096801757813,477.899519219308,459.03667004536175,461.0655540887845,17268416,0.019475087935074,1.7289535831568188,1.0896294598248222,0,0
2018-03-01,466.3487548828125,469.9043655614644,464.4604788741854,469.9043655614644,6579852,-0.0101057683450537,-0.2410331840380162,-0.6368379587833246,0,0
2018-03-05,464.4002380371094,470.3865471802007,459.3179002700142,466.3487887499838,8101456,-0.0041782396228178,0.0394104513194302,-0.2908816039404396,0,0
2018-03-06,462.5721130371094,468.2169307836793,459.4584343537766,467.07191036691125,6689734,-0.0039365289900086,-0.2207810635517748,-0.2767743202186839,0,0
2018-03-07,459.6594543457031,466.0475294284845,457.22880484682224,464.0387038706031,6370416,-0.0062966586383312,-0.2796338930363641,-0.4145217506153331,0,0
2018-03-08,464.7015380859375,468.3776979692114,461.6280257558697,461.6280257558697,6093014,0.0109691722699611,-0.3307612726538115,0.5931872296818302,0,0
2018-03-09,467.413330078125,468.4579090889918,464.2594851815659,466.9914572835583,4220964,0.005835556308587,-0.6757948737556144,0.2935670762614104,0,0
2018-03-12,476.3927917480469,478.8435481460901,470.7680824210617,472.4755834667536,7676970,0.0192109661665427,-0.0388256712185895,1.0742141647570864,0,0
2018-03-13,475.609375,480.9126528070087,472.13409831845263,474.1629819221124,8581052,-0.0016444764942228,0.1278037821353914,-0.1430001685092201,0,0
2018-03-14,474.404052734375,478.3413196535459,469.70337358984807,474.0826211703904,4429710,-0.0025342693583889,-0.6373213372071265,-0.1949323497397159,0,0
2018-03-15,475.087158203125,477.4575817398743,470.8686252973045,474.0827456065011,6101500,0.001439923341322,-0.3291972358284329,0.0370188198391979,0,0
2018-03-16,470.828369140625,475.04690124488735,469.7636821817867,474.88618545124814,17954826,-0.008964226855989,1.85546436766166,-0.5702126329578672,0,0
2018-03-19,460.7239990234375,474.28356734002,459.0767723848052,467.654445051913,7526620,-0.0214608353690123,-0.0665363637351655,-1.2995690530872537,0,0
2018-03-20,467.87548828125,470.0650880912504,461.467306585822,461.467306585822,8553766,0.0155222850838483,0.1227747568210762,0.8589266948272076,0,0
2018-03-21,469.0607604980469,472.2748813408601,466.9313858222464,470.065173261426,7692994,0.0025333069299078,-0.035872321455466,0.1008334411557001,0,0
2018-03-22,466.5696716308594,473.05813655514623,464.1590818503715,467.8552998963564,6813168,-0.0053108020899946,-0.1980312024271253,-0.3569828749990764,0,0
2018-03-23,469.100830078125,471.59180264173415,458.9562632683076,460.8244804301191,12008084,0.0054250385337266,0.7594328476256903,0.2696074735932474,0,0
2018-03-26,464.1390380859375,468.819610364856,459.61918162329584,468.819610364856,8930722,-0.0105772398470519,0.1922507249506301,-0.6643550860528622,0,0
2018-03-27,463.63671875,466.5696222901964,462.06982574967,466.0473082755633,3802088,-0.0010822604752425,-0.7529970289839036,-0.1101867965839057,0,0
2018-03-28,454.7175598144531,462.3309854936621,452.4877448726804,462.3309854936621,12558322,-0.0192373868911711,0.8608460569967294,-1.1697989302214904,0,0
2018-04-02,456.8670349121094,461.8489302339774,450.4990700931245,458.4138202022364,8072702,0.0047270554023322,0.0341108620103406,0.2288701425410637,0,0
2018-04-03,458.1929016113281,459.4384124195281,453.23111337789,455.8827527253047,4077168,0.0029020844094689,-0.7022976123064196,0.1223568986631283,0,0
2018-04-04,451.6642456054688,459.8402035356631,449.9768520277984,459.6192131426798,4813302,-0.0142487061298853,-0.5666223018641373,-0.8786378253962993,0,0
2018-04-05,461.04541015625,462.5520287911858,453.6328170462207,457.8312904017203,7763544,0.0207702173507347,-0.0228693992270361,1.1652188449948957,0,0
2018-04-06,452.7891540527344,460.4226890367645,450.8204957481372,459.2173940392861,5937742,-0.0179076852770696,-0.3593791286460548,-1.092191761197139,0,0
2018-04-09,446.46136474609375,452.3070652247682,444.5730888275918,451.9856336012198,7202882,-0.0139751344527648,-0.1262038341304517,-0.862670992565979,0,0
2018-04-10,447.3251647949219,451.7847465259463,444.11104476628014,446.7626839811936,8926058,0.0019347699869156,0.1913911129127364,0.0659002221466378,0,0
2018-04-11,451.684326171875,454.5971225825898,448.5706472500764,449.1732947833278,9025574,0.0097449500274628,0.2097326977247056,0.5217362955103065,0,0
2018-04-12,467.0920104980469,471.16993533008497,451.98565529426185,453.7734900466595,17044366,0.0341116205132805,1.6876593985320176,1.9438811548525332,0,1
2018-04-13,470.6476135253906,476.4531474962609,462.1302147104293,471.67213394483286,21227038,0.0076122111862981,2.458558884329769,0.3972603815339895,0,0
2018-04-16,455.2800903320313,458.0121120211687,442.74504162046304,442.74504162046304,24745084,-0.0326518668144277,3.106962548880285,-1.9527263176424623,0,0
2018-04-17,452.0660095214844,452.9499220476224,447.9680256753411,452.78920622072593,10397940,-0.0070595681181729,0.4626705909485388,-0.4590484657252953,0,0
2018-04-18,452.3673095703125,455.9028614021884,447.5059625841697,451.1218478034865,10430380,0.000666495694173,0.468649539170938,-0.008121781257953,0,0
2018-04-19,455.1395568847656,457.9318535912468,451.22234739078016,451.5839457681734,8525542,0.006128310458787,0.1175728506981109,0.3106534816445501,0,0
2018-04-20,473.4599609375,479.5868773984977,456.7867128633096,457.61035075910553,24272692,0.040252278176236,3.01989697216402,2.3022766415660527,0,1
2018-04-23,477.17620849609375,487.9033620197629,464.13895556802834,469.2614586483074,21830638,0.0078491274135097,2.569807131772438,0.4110878428943662,0,0
2018-04-24,463.8377075195313,480.67167137334775,462.0699316535731,476.0915404163227,8526216,-0.0279529883071939,0.1176970742215972,-1.6784793327035172,0,0
2018-04-25,466.1880798339844,470.466887552552,460.1013293366068,462.8333513753543,11594178,0.0050672299305336,0.6831467026521891,0.248724207413917,0,0
2018-04-26,472.6563415527344,474.7455486558587,466.0473279420197,471.6720370723544,11302084,0.0138747900226308,0.6293114713922174,0.7627717181566804,0,0
2018-04-27,476.1717224121094,478.7430274865911,471.7523086740695,474.0825646260984,7663370,0.0074374985593688,-0.0413322586361181,0.3870633928073439,0,0
2018-04-30,481.9170837402344,485.31197813498,474.3438238294802,474.7656476237827,5511678,0.012065733973074,-0.4379060890476673,0.6571873395836421,0,0
2018-05-02,480.9328308105469,482.7608322026003,474.4844827025339,481.6760862795612,10295042,-0.0020423698658876,0.4437056768243577,-0.1662229561038102,0,0
2018-05-03,475.1072082519531,484.0062635401593,472.515794641888,481.0131339839173,5332230,-0.012113172953436,-0.4709797727903645,-0.7539988218603072,0,0
2018-05-04,471.3105163574219,476.493294717449,464.038579594143,476.0915297134714,6023368,-0.0079912319337361,-0.3435975805421351,-0.5134244177746139,0,0
2018-05-07,475.2879638671875,478.10031868296966,472.2747265645637,474.5848751632419,4638960,0.0084391231931462,-0.5987549094778712,0.4455225624647724,0,0
2018-05-08,468.2772216796875,473.2390096878553,466.4692791553169,473.2390096878553,5718556,-0.0147505148888201,-0.3997768396532928,-0.9079255669163152,0,0
2018-05-09,470.3462219238281,472.8371941171684,467.2526513303861,469.0605936614151,3783504,0.0044183234809482,-0.7564222069667972,0.2108512049448688,0,0
2018-05-10,469.2615661621094,475.2880417549447,467.1924663998525,472.4756864782882,3182862,-0.0023060794605349,-0.8671252716461536,-0.1816141949111446,0,0
2018-05-11,474.3839721679688,475.368276693509,468.47804692757984,470.9890779045435,3311706,0.0109158865230609,-0.8433783047914432,0.5900772417549007,0,0
2018-05-14,477.8192443847656,478.703107971305,470.0651584779075,475.83047774966633,4432094,0.0072415435983164,-0.6368819471774655,0.3756266090791164,0,0
2018-05-15,479.9283447265625,485.3320637326465,477.3369313508526,477.3369313508526,5611974,0.0044140129695122,-0.4194207440749868,0.2105996247512011,0,0
2018-05-16,478.0802612304688,481.3144892270983,475.8906615104323,476.995515304568,6205004,-0.0038507487969826,-0.3101206311178531,-0.2717678150986569,0,0
2018-05-17,475.2478332519531,481.0934846366085,471.4913402715962,480.51094499798097,9519598,-0.0059245867445472,0.3007852228980275,-0.3928060167665608,0,0
2018-05-18,475.3683166503906,476.7142686020356,471.2703333689613,475.2879832698049,7139660,0.0002535169863122,-0.1378561480797896,-0.0322250146785355,0,0
2018-05-21,473.8818664550781,477.45758513318896,470.0650985607812,473.9019743245871,8475320,-0.0031269441888481,0.1083165394272929,-0.2295234303672347,0,0
2018-05-22,479.6471557617188,481.31449039107184,471.6319632895837,472.0738949995905,5636804,0.0121660897256283,-0.4148443789590135,0.6630445377463364,0,0
2018-05-23,476.0513000488281,485.1914526802423,474.6852894072868,480.1091162435105,9538442,-0.0074968769640261,0.3042583209344914,-0.4845717118100198,0,0
2018-05-24,490.5549621582031,493.1865419739405,481.314369095436,481.314369095436,9740570,0.0304665948982543,0.3415121078117143,1.7311416078718564,0,0
2018-05-25,493.488037109375,501.663946177122,490.4747991942162,494.2111847828616,8901438,0.0059790954682585,0.1868534524554161,0.3019446458665829,0,0
2018-05-28,487.9034118652344,495.2155150388348,484.52857615296585,494.5727008659212,5739794,-0.0113166375356387,-0.3958625085081844,-0.7075095507732365,0,0
2018-05-29,488.8274841308594,492.7849088444138,484.60895138707946,487.76284605419954,3388934,0.0018939655742358,-0.8291445744178473,0.0635186991656918,0,0
2018-05-30,486.8186645507813,493.6687778919644,484.3679076900036,488.9480388154797,6323066,-0.0041094652925454,-0.2883608720231275,-0.2868676349286066,0,0
2018-05-31,494.8942260742188,498.9922101147311,486.2361693167096,486.8187090428064,19720340,0.0165884385942542,2.180862542505093,0.9211520503584856,0,0
2018-06-01,490.4747619628906,500.6996622280691,489.0283686385396,494.3316963928017,4998356,-0.0089301185556071,-0.5325153880433029,-0.5682219242117806,0,0
