Date,Close,High,Low,Open,Volume,ret,vol_z,ret_z,label,Anomaly
2018-01-01,2795.703857421875,2844.976625405885,2791.66838489039,2843.101594262479,198470,-0.0409125573968079,-0.8898878487332315,-2.110916262261853,0,1
2018-01-02,2681.324462890625,2801.4878643920406,2669.1244327371437,2798.682167983035,847930,-0.0409125573968079,-0.1481763715811585,-2.110916262261853,0,1
2018-01-03,2694.810791015625,2716.381866445671,2669.35379847882,2698.1448389381176,470880,0.005029726283279,-0.5787838184757927,0.2213834987261408,0,0
2018-01-04,2672.028564453125,2708.2080778878862,2657.4623682096058,2695.872419634851,494210,-0.0084541098909262,-0.5521399470103324,-0.4631351052093214,0,0
2018-01-05,2734.3388671875,2742.568957807519,2682.826422895347,2693.1886424156223,527770,0.0233194747853033,-0.5138129720261554,1.149878398040235,0,0
2018-01-08,2730.634765625,2749.5825785134607,2715.9187869725424,2749.5825785134607,329240,-0.0013546607580171,-0.7405428392373786,-0.1027254305155264,0,0
2018-01-09,2674.4794921875,2734.7738978446587,2666.4083178142305,2730.972232923022,827180,-0.0205649155809554,-0.1718737711914586,-1.0779506292462764,0,0
2018-01-10,2627.76904296875,2684.112224367571,2618.650527738233,2676.6349322810083,842020,-0.0174652486045218,-0.1549258478075139,-0.9205933546575968,0,0
2018-01-11,2660.240234375,2667.7501772602386,2601.8631063656744,2628.002803891769,600910,0.0123569426670637,-0.4302839210624277,0.5933559748792053,0,0
2018-01-12,2679.417236328125,2691.5985456420817,2638.383919375364,2667.2825059663714,596570,0.0072087481819589,-0.4352403892218832,0.3320034297871981,0,0
2018-01-15,2616.920166015625,2688.7928595223093,2609.298114110345,2688.7928595223093,575940,-0.0233248743290709,-0.4588007436296177,-1.2180623218515048,0,0
2018-01-16,2608.47509765625,2632.6787988273354,2590.6869618931228,2619.5855472523504,465370,-0.0032271020220815,-0.5850764773602628,-0.1977815305355232,0,0
2018-01-17,2639.49169921875,2646.800712313184,2588.732063436562,2599.945488261801,475950,0.0118907025757573,-0.5729936586673965,0.5696868934489233,0,0
2018-01-18,2614.385498046875,2663.447743696164,2600.978980727381,2640.0530102151247,493990,-0.0095117560624669,-0.5523911965483693,-0.5168274277388478,0,0
2018-01-19,2619.5341796875,2636.2653843115118,2595.3631293892827,2607.427534181012,324590,0.0019693658966788,-0.7458533408367953,0.0660216571619078,0,0
2018-01-22,2585.898681640625,2627.7923409940354,2580.3060105473046,2619.534394744664,344660,-0.0128402592749858,-0.7229325307077002,-0.6858017717454036,0,0
2018-01-23,2531.790771484375,2602.700149280221,2526.99770588753,2590.5935030749297,1173990,-0.0209242189341777,0.2241982846566466,-1.0961909746909635,0,0
2018-01-24,2469.391845703125,2529.8031432721973,2459.861884224644,2525.688212854708,940580,-0.0246461621094644,-0.0423660547669751,-1.2851386386464378,0,0
2018-01-25,2480.179443359375,2499.8754868423453,2451.060981819651,2478.3651478235,1754720,0.0043685240457163,0.8874171220392774,0.1878169953417942,0,0
2018-01-29,2567.553955078125,2604.528281009711,2484.542728907048,2499.8758803789947,1274230,0.0352291089068952,0.3386767105331036,1.7544812734363178,0,0
2018-01-30,2496.078857421875,2567.493296813785,2483.883391612063,2567.212681456183,1416630,-0.0278378172014208,0.5013036842442716,-1.4471657694691156,0,0
2018-01-31,2517.982421875,2561.3209454526154,2480.7178857173653,2508.9760150717093,1377660,0.0087751892885903,0.456798254711096,0.4115251671922914,0,0
2018-02-01,2623.07861328125,2646.7071546052275,2498.426042026992,2523.630504423764,1255640,0.0417382546014719,0.3174461245689842,2.084923683600561,0,0
2018-02-02,2601.044677734375,2667.4226517017382,2543.831797433445,2609.391671485342,1498590,-0.0084000286668162,0.5949055575965704,-0.4603896250990163,0,0
2018-02-05,2575.43798828125,2599.852209488682,2553.184208510557,2553.184208510557,486830,-0.0098447710922942,-0.5605682269681163,-0.5337332237127702,0,0
2018-02-06,2579.30029296875,2623.326302812889,2478.3653128178817,2482.62523152746,614080,0.0014996690679698,-0.4152432100808541,0.0421770914680684,0,0
2018-02-07,2619.627685546875,2657.083784839788,2536.359359887241,2611.135931523267,1388510,0.01563501259937,0.4691894251097348,0.759770029802071,0,0
2018-02-08,2637.168212890625,2651.3836988732637,2600.881152228058,2640.160910729884,685330,0.0066958092711133,-0.3338726210575344,0.3059636423988074,0,0
2018-02-09,2595.07763671875,2613.974076948254,2577.500020060604,2581.708565086102,335150,-0.0159605200632003,-0.7337933630110233,-0.8442045089982562,0,0
2018-02-12,2609.4287109375,2618.650201038412,2591.2010442069704,2595.3630102247344,175940,0.0055301136334771,-0.9156180855149212,0.2467860952839225,0,0
2018-02-14,2621.231689453125,2638.987175127424,2595.512801211249,2601.81625777813,379990,0.0045232040508147,-0.6825841389856808,0.1956694595647923,0,0
2018-02-15,2650.490234375,2655.966000985153,2628.0026477725146,2637.3549703624526,302320,0.0111621361208169,-0.7712866463462595,0.5327005873141728,0,0
2018-02-16,2555.81640625,2658.392833381892,2539.248914758203,2656.0593195582123,493090,-0.0357193650054419,-0.5534190355676112,-1.8472793595452053,0,1
2018-02-19,2533.4970703125,2577.3874508896884,2496.6677380867204,2570.4855472658764,332660,-0.0087327618223751,-0.7366370509642594,-0.4772811114819457,0,0
2018-02-20,2517.30810546875,2562.5266702053964,2506.515718503323,2536.349532066202,210980,-0.0063899678564669,-0.8756008863657686,-0.3583471498012351,0,0
